,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03814157,DUD_ace_A_1,CC(NC(=O)CCS)C(=O)[O-] ,1,0.3125
1,ZINC03814167,DUD_ace_A_2,O=C([O-])C1CCCN1C(=O)CCS,1,0.42857142857142855
2,ZINC03814162,DUD_ace_A_3,O=C([O-])C1=CCCN1C(=O)CCS,1,1.0
3,ZINC03814191,DUD_ace_A_4,CC(CS)C(=O)N1CCCC1C(=O)[O-],1,0.2631578947368421
4,ZINC03812885,DUD_ace_A_5,CC(CS)C(=O)N1CCCC1C(=O)[O-],1,0.2631578947368421
5,ZINC03814158,DUD_ace_A_6,CC(NP(=O)(O)O)C(=O)N1CCCC1C(=O)[O-],1,0.1791044776119403
6,ZINC03814161,DUD_ace_A_7,O=C([O-])C(Cc1ccccc1)OC(=O)CCS,1,0.26153846153846155
7,ZINC03814164,DUD_ace_A_8,O=C([O-])C(Cc1ccccc1)NC(=O)CCS,1,0.26153846153846155
8,ZINC01535869,DUD_ace_A_9,CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)[O-],1,0.1780821917808219
9,ZINC03814200,DUD_ace_A_10,CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)[O-],1,0.1780821917808219
10,ZINC03814197,DUD_ace_A_11,CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)[O-],1,0.1780821917808219
11,ZINC03814194,DUD_ace_A_12,CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)[O-],1,0.1780821917808219
12,ZINC03814170,DUD_ace_A_13,O=C([O-])C1CCCN1C(=O)C1CCCC1S,1,0.19696969696969696
13,ZINC03814160,DUD_ace_A_14,O=C([O-])C1C=CCn2c(=O)n(CS)c(=O)n21,1,0.2
14,ZINC03814179,DUD_ace_A_15,CC(CS)C(=O)N1c2ccccc2CC1C(=O)[O-],1,0.21739130434782608
15,ZINC03814168,DUD_ace_A_16,CC1(CCS)C(=O)N2CCCC(C(=O)[O-])N2C1=O,1,0.23880597014925373
16,ZINC03814186,DUD_ace_A_17,O=C([O-])CCn1c(=O)n2n(c1=O)C(C(=O)[O-])C=CC2,1,0.2112676056338028
17,ZINC03814159,DUD_ace_A_18,O=C([O-])C(Cc1c[nH]c2ccccc12)NC(=O)CS,1,0.1891891891891892
18,ZINC03814163,DUD_ace_A_19,O=C([O-])CCc1cc(O)c2n(c1=O)C(C(=O)[O-])CC2,1,0.22857142857142856
19,ZINC03814165,DUD_ace_A_20,CC(S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],1,0.15384615384615385
20,ZINC03814169,DUD_ace_A_21,CC(S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],1,0.15384615384615385
21,ZINC03814172,DUD_ace_A_22,CC(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],1,0.17721518987341772
22,ZINC03814171,DUD_ace_A_23,O=C([O-])C1CCCN2C(=O)CC(CS)C(=O)N12,1,0.208955223880597
23,ZINC03814177,DUD_ace_A_24,O=C([O-])C1CSC(c2ccccc2O)N1C(=O)CCS,1,0.30434782608695654
24,ZINC03814189,DUD_ace_A_25,COC(=O)C1CC(C(=O)[O-])N(C(=O)C(C)CS)C1c1ccccc1,1,0.17647058823529413
25,ZINC03814176,DUD_ace_A_26,CC(NP(=O)(O)CCc1ccccc1)C(=O)N1CCCC1C(=O)[O-],1,0.18823529411764706
26,ZINC03775164,DUD_ace_A_27,CC(NC(=O)C(S)Cc1ccccc1)C(=O)N1CCCC1C(=O)[O-],1,0.18823529411764706
27,ZINC03812851,DUD_ace_A_28,CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],1,0.18181818181818182
28,ZINC03814183,DUD_ace_A_29,CC([NH2+]C(CCc1ccc(O)cc1)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],1,0.17777777777777778
29,ZINC03814199,DUD_ace_A_30,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1CCCC1C(=O)[O-],1,0.1702127659574468
30,ZINC03814192,DUD_ace_A_31,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,0.15384615384615385
31,ZINC03814195,DUD_ace_A_32,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,0.15384615384615385
32,ZINC03814196,DUD_ace_A_33,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,0.15384615384615385
33,ZINC03814198,DUD_ace_A_34,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccccc1)C(=O)[O-],1,0.15384615384615385
34,ZINC03814180,DUD_ace_A_35,CC1CCCC([NH2+]C(CCc2ccccc2)C(=O)[O-])C(=O)N1CC(=O)[O-],1,0.16304347826086957
35,ZINC03809801,DUD_ace_A_36,O=C([O-])C1CCCC2SCCC(NC(=O)C(S)Cc3ccccc3)C(=O)N21,1,0.15625
36,ZINC03814187,DUD_ace_A_37,O=C([O-])C(CCc1ccccc1)[NH2+]C1CCCC2SCC(C(=O)[O-])N2C1=O,1,0.15625
37,ZINC03814178,DUD_ace_A_38,O=C([O-])C1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,1,0.16326530612244897
38,ZINC03814185,DUD_ace_A_39,CC([NH2+]C(CCc1cccc2ccccc21)C(=O)[O-])C(=O)N1CCCC1C(=O)[O-],1,0.16
39,ZINC03814184,DUD_ace_A_40,O=C([O-])CN1c2ccccc2CCC([NH2+]C(CCc2ccccc2)C(=O)[O-])C1=O,1,0.14705882352941177
40,ZINC03814182,DUD_ace_A_41,CC([NH2+]C(C(=O)[O-])C1CCCN1C(=O)c1ccccc1)C(=O)N1CCCC1C(=O)[O-],1,0.1346153846153846
41,ZINC03814190,DUD_ace_A_42,O=C([O-])C1CCC(c2cccc(O)c2)N1OCCNC(=O)C(S)Cc1ccc(O)cc1,1,0.1509433962264151
42,ZINC03814193,DUD_ace_A_43,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N1C(C(=O)[O-])CC2CCCCC21,1,0.14018691588785046
43,ZINC03814173,DUD_ace_A_44,O=C([O-])C1CCCN1C(=O)CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,1,0.17142857142857143
44,ZINC03814181,DUD_ace_A_45,CC(CC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)[O-],1,0.14678899082568808
45,ZINC03814166,DUD_ace_A_46,[NH3+]C(Cc1ccccc1)C(=O)NC(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)[O-],1,0.1588785046728972
46,ZINC00003015,DUD_ace_D_1,CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O,0,0.09411764705882353
47,ZINC00003662,DUD_ace_D_2,CC(O)C1C(=O)N2C(C(=O)[O-])=C(CNc3cc[n+](C)cc3)SC12,0,0.12643678160919541
48,ZINC00009202,DUD_ace_D_3,CC(C)(C)NC(=O)Sc1ccccc1C(=O)NCCC(N)=O,0,0.13253012048192772
49,ZINC00031727,DUD_ace_D_4,NS(=O)(=O)c1ccc(CCNC(=O)Cc2cccs2)cc1,0,0.09302325581395349
50,ZINC00031891,DUD_ace_D_5,O=C([O-])C(CC(=O)NCc1ccccc1)C1CCCO1,0,0.1794871794871795
51,ZINC00033334,DUD_ace_D_6,CCC1C(=O)N=C(SCC(=O)NCc2ccco2)NC1=O,0,0.09302325581395349
52,ZINC00062435,DUD_ace_D_7,Cc1nnc(SCC(=O)NC(C)c2ccccc2)nc1O,0,0.06818181818181818
53,ZINC00062436,DUD_ace_D_8,Cc1nnc(SCC(=O)NC(C)c2ccccc2)nc1O,0,0.06818181818181818
54,ZINC00067498,DUD_ace_D_9,CCC1C(=O)N=C(SCC(=O)NCc2ccccc2)NC1=O,0,0.0898876404494382
55,ZINC00067501,DUD_ace_D_10,CCC1C(=O)N=C(SCC(=O)NCc2ccccc2)NC1=O,0,0.0898876404494382
56,ZINC00072422,DUD_ace_D_11,C=CCn1c(SCC(N)=O)nc2sc(CC)cc2c1=O,0,0.1111111111111111
57,ZINC00082060,DUD_ace_D_12,O=C(CSc1ncnc2c1cnn2CCO)NCc1ccco1,0,0.0851063829787234
58,ZINC00083818,DUD_ace_D_13,Cn1c(SCC(=O)NC2CC2)nnc1-c1ccc(N)cc1,0,0.10588235294117647
59,ZINC00086904,DUD_ace_D_14,CCN1C(=O)C(CC(=O)NC)N(NC(=O)c2ccccc2)C1=S,0,0.12643678160919541
60,ZINC00089825,DUD_ace_D_15,CCc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O,0,0.09302325581395349
61,ZINC00089832,DUD_ace_D_16,CCCc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O,0,0.0898876404494382
62,ZINC00089874,DUD_ace_D_17,CC(C)Cc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O,0,0.08791208791208792
63,ZINC00089910,DUD_ace_D_18,CCC(C)c1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O,0,0.08791208791208792
64,ZINC00105410,DUD_ace_D_19,CCCn1c2ccccc2c2nnc(SCC(N)=O)nc21,0,0.09195402298850575
65,ZINC00107068,DUD_ace_D_20,CCn1c(COc2cccc3cccnc32)nnc1SCC(N)=O,0,0.08333333333333333
66,ZINC00107874,DUD_ace_D_21,CCn1c(COc2ccc3c(c2)OCO3)nnc1SCC(N)=O,0,0.09782608695652174
67,ZINC00168679,DUD_ace_D_22,COc1ccc(CCNC(=O)C2CC=CCC2C(=O)[O-])cc1,0,0.1686746987951807
68,ZINC00200607,DUD_ace_D_23,O=C(CCCn1c(=O)[nH]c2ccsc2c1=O)NCc1ccco1,0,0.10989010989010989
69,ZINC00202467,DUD_ace_D_24,CCC(Sc1nnc(N)s1)C(=O)NC(C)c1ccccc1,0,0.06818181818181818
70,ZINC00202471,DUD_ace_D_25,CCC(Sc1nnc(N)s1)C(=O)NC(C)c1ccccc1,0,0.06818181818181818
71,ZINC00213648,DUD_ace_D_26,COc1ccc(CNC(=O)CNS(=O)(=O)c2cccs2)cc1,0,0.0898876404494382
72,ZINC00249594,DUD_ace_D_27,Cc1[nH]nc(SCC(=O)NCc2cccnc2)c1[N+](=O)[O-],0,0.10588235294117647
73,ZINC00249762,DUD_ace_D_28,COc1ccc(CNC(=O)CSc2n[nH]c(C)c2[N+](=O)[O-])cc1,0,0.1
