,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03815484,DUD_fgfr1_A_1,O=C([O-])CCc1cc[nH]c1C=C1C(=O)Nc2ccccc21,1,0.17475728155339806
1,ZINC03815485,DUD_fgfr1_A_2,Cc1c[nH]c(C=C2C(=O)Nc3ccccc32)c1CCC(=O)[O-],1,0.1941747572815534
2,ZINC03815486,DUD_fgfr1_A_3,Cc1c[nH]c(C=C2C(=O)Nc3cccc(C)c32)c1CCC(=O)[O-],1,0.20192307692307693
3,ZINC03815504,DUD_fgfr1_A_4,Cc1c[nH]c(C=C2C(=O)Nc3ccc(Br)cc32)c1CCC(=O)[O-],1,0.19047619047619047
4,ZINC03815565,DUD_fgfr1_A_5,Cc1c(C=C2C(=O)Nc3ccc(C(=O)[O-])cc32)[nH]cc1CCC(=O)[O-],1,0.18181818181818182
5,ZINC03815552,DUD_fgfr1_A_6,Cc1c(CCC(=O)[O-])c[nH]c1C=C1c2cc(S(N)(=O)=O)ccc2NC1=O,1,0.1891891891891892
6,ZINC03815540,DUD_fgfr1_A_7,Cc1[nH]c(C=C2C(=O)Nc3ccc(C(=O)[O-])cc32)c(C)c1CCC(=O)[O-],1,0.168141592920354
7,ZINC03815541,DUD_fgfr1_A_8,Cc1[nH]c(C=C2c3cc(S(N)(=O)=O)ccc3NC2=O)c(C)c1CCC(=O)[O-],1,0.17543859649122806
8,ZINC03815550,DUD_fgfr1_A_9,CN1C(=O)C(C2C(Cl)CCCC2Cl)=CC2CNC(N)CC21,1,0.09174311926605505
9,ZINC03815557,DUD_fgfr1_A_10,CCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,1.0
10,ZINC03815528,DUD_fgfr1_A_11,COC1CC(OC)CC(C2CC3CNC(N)CC3NC2N)C1,1,0.01652892561983471
11,ZINC03815531,DUD_fgfr1_A_12,CNC1CC2C(C=C(C3C(Cl)CCCC3Cl)C(=O)N2C)CN1,1,0.07964601769911504
12,ZINC03815516,DUD_fgfr1_A_13,COC1CC(OC)CC(C2=CC3CNC(N)CC3N(C)C2=O)C1,1,0.06837606837606838
13,ZINC03815554,DUD_fgfr1_A_14,CCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.8656716417910447
14,ZINC03815571,DUD_fgfr1_A_15,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.6447368421052632
15,ZINC03815563,DUD_fgfr1_A_16,CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.5875
16,ZINC03815553,DUD_fgfr1_A_17,CC(C)Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.8142857142857143
17,ZINC03815560,DUD_fgfr1_A_18,CCCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.8285714285714286
18,ZINC03815548,DUD_fgfr1_A_19,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(CCCO)c2n1,1,0.7777777777777778
19,ZINC03815522,DUD_fgfr1_A_20,CCNC(=O)NC1NC2CC(N)NCC2CC1C1C(Cl)CCCC1Cl,1,0.056451612903225805
20,ZINC03815510,DUD_fgfr1_A_21,CNC(=O)NC1NC2CC(N)NCC2CC1C1CC(OC)CC(OC)C1,1,0.022900763358778626
21,ZINC03815567,DUD_fgfr1_A_22,C[NH+](C)CCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.75
22,ZINC03815481,DUD_fgfr1_A_23,CCNC(=O)NC1NC2CC(N)NCC2CC1C1CC(OC)CC(OC)C1,1,0.03787878787878788
23,ZINC03815368,DUD_fgfr1_A_24,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,1,0.35
24,ZINC03815345,DUD_fgfr1_A_25,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,1,0.5168539325842697
25,ZINC03815526,DUD_fgfr1_A_26,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Br,1,0.42105263157894735
26,ZINC03815523,DUD_fgfr1_A_27,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1cccc(Cl)c1Cl,1,0.42105263157894735
