,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03861213,DUD_gpb_A_1,OCC1OC(O)C(O)C(O)C1O,1,0.5813953488372093
1,ZINC03815614,DUD_gpb_A_2,OCC1OC(S)C(O)C(O)C1O,1,0.5813953488372093
2,ZINC03833800,DUD_gpb_A_3,OCC1OC(O)C(O)C(O)C1O,1,0.5813953488372093
3,ZINC04134459,DUD_gpb_A_4,OCC1SC(O)C(O)C(O)C1O,1,0.3877551020408163
4,ZINC04134465,DUD_gpb_A_5,OCC1OC(F)C(F)C(O)C1O,1,0.44680851063829785
5,ZINC04134461,DUD_gpb_A_6,OCC1OC(CO)C(O)C(O)C1O,1,0.6904761904761905
6,ZINC04134448,DUD_gpb_A_7,N#CCC1OC(CO)C(O)C(O)C1O,1,0.6444444444444445
7,ZINC04134453,DUD_gpb_A_8,[NH3+]CCC1OC(CO)C(O)C(O)C1O,1,1.0
8,ZINC03833807,DUD_gpb_A_9,NC(=O)C1OC(CO)C(O)C(O)C1O,1,0.5208333333333334
9,ZINC04134464,DUD_gpb_A_10,NC(=O)C1OC(CO)C(O)C(O)C1O,1,0.5208333333333334
10,ZINC04134470,DUD_gpb_A_11,CC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
11,ZINC04134449,DUD_gpb_A_12,N#CCC1(O)OC(CO)C(O)C(O)C1O,1,0.38181818181818183
12,ZINC04134456,DUD_gpb_A_13,NNC(=O)C1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
13,ZINC03833811,DUD_gpb_A_14,NC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
14,ZINC04134457,DUD_gpb_A_15,COC(=O)C1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
15,ZINC03833808,DUD_gpb_A_16,NNC(=O)C1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
16,ZINC04134466,DUD_gpb_A_17,CNC(=O)C1OC(CO)C(O)C(O)C1O,1,0.49019607843137253
17,ZINC04134460,DUD_gpb_A_18,CNNC(=O)C1OC(CO)C(O)C(O)C1O,1,0.46296296296296297
18,ZINC04134468,DUD_gpb_A_19,COC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.46296296296296297
19,ZINC04134469,DUD_gpb_A_20,CCC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.49056603773584906
20,ZINC03833815,DUD_gpb_A_21,O=C(CBr)NC1OC(CO)C(O)C(O)C1O,1,0.49056603773584906
21,ZINC03833809,DUD_gpb_A_22,[NH3+]CC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.5490196078431373
22,ZINC03833814,DUD_gpb_A_23,O=C(CCl)NC1OC(CO)C(O)C(O)C1O,1,0.49056603773584906
23,ZINC04134458,DUD_gpb_A_24,O=C(NCCO)C1OC(CO)C(O)C(O)C1O,1,0.4909090909090909
24,ZINC04134452,DUD_gpb_A_25,CS(=O)(=O)OCC1OC(CO)C(O)C(O)C1O,1,0.5576923076923077
25,ZINC04134467,DUD_gpb_A_26,CCCC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.4909090909090909
26,ZINC04134454,DUD_gpb_A_27,CS(=O)(=O)OCC1(O)OC(CO)C(O)C(O)C1O,1,0.3387096774193548
27,ZINC04134471,DUD_gpb_A_28,COC(=O)NC1(C(N)=O)OC(CO)C(O)C(O)C1O,1,0.30303030303030304
28,ZINC03833799,DUD_gpb_A_29,O=C(NCC(F)(F)F)C1OC(CO)C(O)C(O)C1O,1,0.43333333333333335
29,ZINC04134463,DUD_gpb_A_30,CC(=O)NCC(=O)NC1OC(CO)C(O)C(O)C1O,1,0.4262295081967213
30,ZINC04134450,DUD_gpb_A_31,O=C(NCCC(F)(F)F)C1OC(CO)C(O)C(O)C1O,1,0.43548387096774194
31,ZINC03833817,DUD_gpb_A_32,O=C1NC(=O)C2(N1)OC(CO)C(O)C(O)C2O,1,0.3225806451612903
32,ZINC03833818,DUD_gpb_A_33,NN1C(=O)NC2(OC(CO)C(O)C(O)C2O)C1=O,1,0.3125
33,ZINC03833816,DUD_gpb_A_34,O=C1NC2(OC(CO)C(O)C(O)C2O)C(=O)N1O,1,0.3125
