,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC00005723,DUD_hivrt_A_1,S=C(NCCc1ccccc1)Nc1nccs1,1,0.0380952380952381
1,ZINC03833870,DUD_hivrt_A_2,Fc1cccc(Cl)c1CCNC(=S)Nc1nccs1,1,0.056074766355140186
2,ZINC03797553,DUD_hivrt_A_3,C=CC[NH+]1Cc2cccc3[nH]c(=O)n(c32)CC1C,1,0.15789473684210525
3,ZINC01625281,DUD_hivrt_A_4,CC(C)=CC[NH+]1Cc2cc(Cl)cc3[nH]c(=S)n(c32)CC1C,1,0.11428571428571428
4,ZINC01624808,DUD_hivrt_A_5,CC(C)=CC[NH+]1Cc2c3c(ccc2Cl)[nH]c(=S)n3CC1C,1,0.11428571428571428
5,ZINC00005722,DUD_hivrt_A_6,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,1,0.045871559633027525
6,ZINC03832005,DUD_hivrt_A_7,Fc1cccc(F)c1CCNC(=S)Nc1ccc(Br)cn1,1,0.05357142857142857
7,ZINC02020188,DUD_hivrt_A_8,O=C1c2ccccc2C2(c3ccccc3)SCCN12,1,0.08490566037735849
8,ZINC00004778,DUD_hivrt_A_9,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1,0.1485148514851485
9,ZINC02004030,DUD_hivrt_A_10,Cc1c(=O)[nH]c(=O)n(COCCO)c1SC1CCCCC1,1,1.0
10,ZINC01905250,DUD_hivrt_A_11,Cc1c(=O)[nH]c(=S)n(COCCO)c1Sc1ccccc1,1,0.37209302325581395
11,ZINC03833867,DUD_hivrt_A_12,CCOCC1C(=O)NC(=O)C(CC)=C1Cc1ccccc1,1,0.1568627450980392
12,ZINC03833868,DUD_hivrt_A_13,CCOCC1C(=O)NC(=O)C(CC)=C1Cc1ccccc1,1,0.1568627450980392
13,ZINC01536588,DUD_hivrt_A_14,CCOCn1c(=O)[nH]c(=O)c(C(C)C)c1Cc1ccccc1,1,0.25
14,ZINC03833869,DUD_hivrt_A_15,Cc1cc(C)cc(Cc2c(C(C)C)c(=O)[nH]c(=O)n2COCCO)c1,1,0.3368421052631579
15,ZINC00018097,DUD_hivrt_A_16,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,1,0.11538461538461539
16,ZINC03833866,DUD_hivrt_A_17,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)N1,1,0.11538461538461539
17,ZINC03833865,DUD_hivrt_A_18,O=C1Nc2ccc(Cl)cc2C(C=CC2CC2)(C(F)(F)F)N1,1,0.11538461538461539
18,ZINC04617885,DUD_hivrt_A_19,Cc1c(Cc2ccccc2)nc(OC2CCCCC2)[nH]c1=O,1,0.30851063829787234
19,ZINC00006488,DUD_hivrt_A_20,COc1ccc2c(c1)N(C(=O)OC(C)C)C(CSC)C(=S)N2,1,0.11214953271028037
20,ZINC03832011,DUD_hivrt_A_21,CC(=O)c1ccccc1NC(C(N)=O)c1c(Cl)cccc1Cl,1,0.0625
21,ZINC03832009,DUD_hivrt_A_22,CC(=O)c1ccccc1NC(C(N)=O)c1c(Cl)cccc1Cl,1,0.0625
22,ZINC03832007,DUD_hivrt_A_23,NC(=O)C(Nc1ccccc1[N+](=O)[O-])c1c(Cl)cccc1Cl,1,0.05309734513274336
23,ZINC03832008,DUD_hivrt_A_24,NC(=O)C(Nc1ccccc1[N+](=O)[O-])c1c(Cl)cccc1Cl,1,0.05309734513274336
24,ZINC03832001,DUD_hivrt_A_25,CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Br)cccc1Br,1,0.07079646017699115
25,ZINC01492540,DUD_hivrt_A_26,CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1,1,0.0990990990990991
26,ZINC00598073,DUD_hivrt_A_27,CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,1,0.07079646017699115
27,ZINC03832004,DUD_hivrt_A_28,CCN1c2cc([N+](=O)[O-])ccc2N(C)C(=O)c2cccnc21,1,0.09090909090909091
28,ZINC03833862,DUD_hivrt_A_29,Cc1occc1C(=S)Nc1ccc(Cl)c(CNOC(C)(C)C)c1,1,0.07017543859649122
29,ZINC00005563,DUD_hivrt_A_30,CCN1c2ncccc2-c2ncc(C)n2-c2ccc(OC)nc21,1,0.07758620689655173
30,ZINC00014547,DUD_hivrt_A_31,CCc1cc(NCc2nc3c(o2)c(C)ccc3C)c(=O)[nH]c1C,1,0.11818181818181818
31,ZINC03580965,DUD_hivrt_A_32,CC(C)c1c(=O)[nH]c(=O)n(COCc2ccccc2)c1Cc1ccccc1,1,0.21428571428571427
32,ZINC00598801,DUD_hivrt_A_33,CC1Oc2c3c(c4c(-c5ccccc5)cc(=O)oc4c2C(O)C1C)OC(C)(C)C=C3,1,0.06716417910447761
33,ZINC03833863,DUD_hivrt_A_34,O=C([O-])c1cc(C(c2ccc(O)c(C(=O)[O-])c2)=C2C=CC(=O)C(C(=O)[O-])=C2)ccc1O,1,0.05925925925925926
34,ZINC00002820,DUD_hivrt_D_1,COc1ccnc(CSc2nc3sc(C4=NCCO4)cc3[nH]2)c1,0,0.10434782608695652
35,ZINC00002820,DUD_hivrt_D_2,COc1cc[nH+]c(CSc2nc3sc(C4=NCCO4)cc3[nH]2)c1,0,0.10434782608695652
