,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03833905,DUD_inha_A_1,O=C(Cc1ccccc1F)NCCO,1,0.5
1,ZINC03833924,DUD_inha_A_2,O=C(c1cccnc1)c1ccc2[nH]ccc2c1,1,0.25301204819277107
2,ZINC03833926,DUD_inha_A_3,CC1CN(C(=O)c2ccc3[nH]ccc3c2)CC(C)O1,1,0.16129032258064516
3,ZINC03833906,DUD_inha_A_4,O=C(Cc1ccccc1F)NCC1=CCCCC1,1,0.49295774647887325
4,ZINC03565391,DUD_inha_A_5,O=C(Cc1ccccc1F)NCc1cccc(Cl)c1,1,1.0
5,ZINC03833907,DUD_inha_A_6,O=C(Cc1ccccc1F)NCCc1ccccc1,1,0.6029411764705882
6,ZINC03833908,DUD_inha_A_7,O=C(Cc1ccccc1F)NCCc1cccc(Cl)c1,1,0.819672131147541
7,ZINC03833896,DUD_inha_A_8,O=C(Cc1ccccc1F)NCCc1ccc(Cl)cc1,1,0.6323529411764706
8,ZINC03833909,DUD_inha_A_9,COc1ccc(CCNC(=O)Cc2ccccc2F)cc1,1,0.5405405405405406
9,ZINC03832022,DUD_inha_A_10,FC(F)(F)c1ccnc(-n2cc(-c3cccnc3)cn2)n1,1,0.16326530612244897
10,ZINC03833902,DUD_inha_A_11,FC(F)(F)c1ccnc(-n2cc(-c3ccncn3)cn2)n1,1,0.14
11,ZINC03833904,DUD_inha_A_12,FC(F)(F)c1ccnc(-n2cc(-c3cnccn3)cn2)n1,1,0.12871287128712872
12,ZINC03591542,DUD_inha_A_13,FC(F)(F)c1ccnc(-n2cc(-c3ccc(Cl)cc3)cn2)n1,1,0.20833333333333334
13,ZINC03833937,DUD_inha_A_14,O=[N+]([O-])c1ccc(C2=C[N+](c3cccc(O)c3)=NC2)c(Cl)c1,1,0.23404255319148937
14,ZINC03833900,DUD_inha_A_15,COc1ccc(-c2cnn(-c3nccc(C(F)(F)F)n3)c2)cc1,1,0.16666666666666666
15,ZINC03591544,DUD_inha_A_16,O=[N+]([O-])c1ccccc1-c1cnn(-c2nccc(C(F)(F)F)n2)c1,1,0.21
16,ZINC03833931,DUD_inha_A_17,O=[N+]([O-])c1ccc(C2=C[N+](c3nccc(C(F)F)n3)=NC2)c(Cl)c1,1,0.17475728155339806
17,ZINC03591536,DUD_inha_A_18,COc1ccc(-c2cnn(-c3nccc(C(F)(F)F)n3)c2)cc1OC,1,0.14814814814814814
18,ZINC03591546,DUD_inha_A_19,COc1ccc([N+](=O)[O-])c(-c2cnn(-c3nccc(C(F)(F)F)n3)c2)c1,1,0.1559633027522936
19,ZINC03591540,DUD_inha_A_20,CS(=O)(=O)c1ccc(-c2cnn(-c3nccc(C(F)(F)F)n3)c2)c([N+](=O)[O-])c1,1,0.1504424778761062
20,ZINC03833928,DUD_inha_A_21,O=C(c1ccc2[nH]ccc2c1)c1ccc2ccccc2n1,1,0.2608695652173913
21,ZINC03833920,DUD_inha_A_22,O=C(c1ccc2[nH]ccc2c1)N1CCc2ccccc2C1,1,0.2608695652173913
22,ZINC03833919,DUD_inha_A_23,COc1cc2c(cc1OC)CN(C(=O)c1ccc3[nH]ccc3c1)CC2,1,0.16666666666666666
23,ZINC00162027,DUD_inha_A_24,O=C(Cc1ccccc1F)NCCc1c[nH]c2ccccc12,1,0.5128205128205128
24,ZINC03833915,DUD_inha_A_25,CN(Cc1ccco1)C(=O)c1ccc(-c2ccccc2)cc1,1,0.26881720430107525
25,ZINC03832027,DUD_inha_A_26,O=C(c1ccc2[nH]ccc2c1)N1CCN(c2ccccc2)CC1,1,0.25773195876288657
26,ZINC03833923,DUD_inha_A_27,O=C(C1CCC2NC=CC2C1)N1CCN(C2CCCCN2)CC1,1,0.042735042735042736
27,ZINC03832030,DUD_inha_A_28,O=C(c1ccc2[nH]ccc2c1)N1CCN(c2ccc(Cl)cc2)CC1,1,0.22772277227722773
28,ZINC03832029,DUD_inha_A_29,O=C(c1ccc2[nH]ccc2c1)N1CCN(c2ccc(F)cc2)CC1,1,0.21568627450980393
29,ZINC03832033,DUD_inha_A_30,O=C(c1ccc2[nH]ccc2c1)N1CCN(c2cccc(Cl)c2)CC1,1,0.27835051546391754
30,ZINC03832028,DUD_inha_A_31,COc1ccccc1N1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.23300970873786409
31,ZINC03832031,DUD_inha_A_32,Cc1ccc(Cl)cc1N1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.23529411764705882
32,ZINC03832034,DUD_inha_A_33,O=C(c1ccc2[nH]ccc2c1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,1,0.21296296296296297
33,ZINC03833917,DUD_inha_A_34,CCCC(=O)C1(c2ccccc2)CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.25
34,ZINC03833914,DUD_inha_A_35,CN(Cc1ccccc1)C(=O)c1ccc(-c2ccccc2)cc1,1,0.2872340425531915
35,ZINC03833913,DUD_inha_A_36,CC(C)C1C2CC1CC(NC(=O)CCc1c[nH]c3ccccc13)C2,1,0.21782178217821782
36,ZINC03833921,DUD_inha_A_37,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](Cc2ccccc2)CC1,1,0.28865979381443296
37,ZINC03833929,DUD_inha_A_38,O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.205607476635514
38,ZINC03833925,DUD_inha_A_39,O=C(c1ccc(Cl)cc1)C1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.2169811320754717
39,ZINC03815670,DUD_inha_A_40,FC(F)(F)c1ccnc(-n2cc(-c3nc4ccccc4[nH]3)cn2)n1,1,0.1941747572815534
40,ZINC03833911,DUD_inha_A_41,O=C(CCCc1c[nH]c2ccccc12)NCC1=CC2OCOC2C=C1,1,0.29292929292929293
41,ZINC03833932,DUD_inha_A_42,CC=CC(=C[N+]1=NCC(c2ccc([N+](=O)[O-])cc2Cl)=C1)C(=O)OCC,1,0.16037735849056603
42,ZINC03832023,DUD_inha_A_43,FC(F)(F)c1ccnc(-n2cc(-c3ccc4ccccc4n3)cn2)n1,1,0.2
43,ZINC03833901,DUD_inha_A_44,FC(F)(F)c1ccnc(-n2cc(-c3cnc4ccccc4n3)cn2)n1,1,0.18867924528301888
44,ZINC03832025,DUD_inha_A_45,FC(F)(F)c1ccnc(-n2cc(-c3ccnc4ccccc43)cn2)n1,1,0.2
45,ZINC03832026,DUD_inha_A_46,O=C(CCCc1c[nH]c2ccccc12)Nc1ccc(N2CCCC2)cc1,1,0.27184466019417475
46,ZINC03833918,DUD_inha_A_47,O=C(c1ccc(-c2ccccc2)cc1)N1CC[NH+](Cc2ccccc2)CC1,1,0.2523364485981308
47,ZINC03833910,DUD_inha_A_48,COc1cc(CCNC(=O)CCCc2c[nH]c3ccccc23)cc(OC)c1,1,0.2815533980582524
48,ZINC03833927,DUD_inha_A_49,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](Cc2ccc3c(c2)OCO3)CC1,1,0.19642857142857142
49,ZINC03833922,DUD_inha_A_50,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,1,0.211864406779661
50,ZINC03833947,DUD_inha_A_51,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](C2c3ccccc3-c3ccccc32)CC1,1,0.211864406779661
51,ZINC03833899,DUD_inha_A_52,COc1ccc2c(c1)C([NH+]1CCN(C(=O)c3ccc4[nH]ccc4c3)CC1)c1ccccc1-2,1,0.1935483870967742
52,ZINC03591551,DUD_inha_A_53,COc1cccc2c1-c1ccccc1C2[NH+]1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,1,0.21311475409836064
53,ZINC03833949,DUD_inha_A_54,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](C2c3ccccc3-c3cc([N+](=O)[O-])ccc32)CC1,1,0.19047619047619047
54,ZINC03833948,DUD_inha_A_55,O=C(c1ccc2[nH]ccc2c1)N1CC[NH+](C2c3ccccc3-c3ccc([N+](=O)[O-])cc32)CC1,1,0.19047619047619047
55,ZINC03591568,DUD_inha_A_56,O=CNc1ccc2c(c1)C([NH+]1CCN(C(=O)c3ccc4[nH]ccc4c3)CC1)c1ccccc1-2,1,0.1984126984126984
56,ZINC03591572,DUD_inha_A_57,CN(C)c1ccc2c(c1)C([NH+]1CCN(C(=O)c3ccc4[nH]ccc4c3)CC1)c1ccccc1-2,1,0.19047619047619047
57,ZINC00003289,DUD_inha_D_1,CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4ccccn4)c3)cnc2n1,0,0.20754716981132076
58,ZINC00003289,DUD_inha_D_2,CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4ccccn4)c3)c[nH+]c2n1,0,0.20754716981132076
59,ZINC00003613,DUD_inha_D_3,O=C(C=Cc1ccccc1)N1CCn2ncc(-c3ccc(F)cc3)c2N1,0,0.25
