,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03581099,DUD_na_A_1,CC(=O)Nc1ccc(C(=O)[O-])cc1N,1,0.13043478260869565
1,ZINC03581100,DUD_na_A_2,CC(=O)Nc1c(N)cc(C(=O)[O-])cc1O,1,0.1267605633802817
2,ZINC03833958,DUD_na_A_3,CC(=O)NC1C([NH3+])CC(C(=O)[O-])=CC1O,1,0.23076923076923078
3,ZINC03581810,DUD_na_A_4,CC(C)(C)OC(=O)N1CC([NH3+])C(C(=O)[O-])C1,1,1.0
4,ZINC04134481,DUD_na_A_5,COC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.25757575757575757
5,ZINC03833955,DUD_na_A_6,CC(=O)Nc1ccc(C(=O)[O-])cc1[N+](=O)[O-],1,0.12162162162162163
6,ZINC03833968,DUD_na_A_7,CC(=O)Nc1c(O)cc(C(=O)[O-])cc1[N+](=O)[O-],1,0.11842105263157894
7,ZINC03833957,DUD_na_A_8,CC(=O)Nc1ccc(C(=O)[O-])cc1N=C(N)N,1,0.11688311688311688
8,ZINC03833960,DUD_na_A_9,CC(=O)Nc1ccc(C(=O)[O-])cc1OC(C)=O,1,0.14666666666666667
9,ZINC04134482,DUD_na_A_10,CCOC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.2463768115942029
10,ZINC03833959,DUD_na_A_11,CCN(C(=O)N1CC([NH3+])C(O)(C(=O)[O-])C1)C(C)C,1,0.27941176470588236
11,ZINC04134483,DUD_na_A_12,CCCOC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.2361111111111111
12,ZINC03581157,DUD_na_A_13,CC(=O)Nc1ccc(C(=O)[O-])cc1NC(=O)CO,1,0.1125
13,ZINC03581156,DUD_na_A_14,CC(=O)Nc1ccc(C(=O)[O-])cc1NC(=O)C[NH3+],1,0.12658227848101267
14,ZINC04134492,DUD_na_A_15,CC(=O)NC1C(O)C=C(C(=O)[O-])CC1N=[CH+](N)N,1,0.15789473684210525
15,ZINC04134484,DUD_na_A_16,CCCCOC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.22666666666666666
16,ZINC04134485,DUD_na_A_17,CC(=O)NC1C([NH3+])CC(C(=O)[O-])=CC1OCC(C)C,1,0.2465753424657534
17,ZINC04134486,DUD_na_A_18,CCC(C)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.2465753424657534
18,ZINC03929509,DUD_na_A_19,CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.23684210526315788
19,ZINC04134487,DUD_na_A_20,CCCCCOC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.21794871794871795
20,ZINC03833961,DUD_na_A_21,CC(=O)Nc1c(OC(C)=O)cc(C(=O)[O-])cc1[N+](=O)[O-],1,0.13414634146341464
21,ZINC04134501,DUD_na_A_22,CC(=O)NC1C(O)C=C(C(=O)[O-])OC1C(O)C(O)CO,1,0.13414634146341464
22,ZINC02047891,DUD_na_A_23,CCC(CC)C(=O)Nc1cc(C(=O)[O-])ccc1NC(C)=O,1,0.12790697674418605
23,ZINC01703370,DUD_na_A_24,CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,1,0.14457831325301204
24,ZINC03833967,DUD_na_A_25,CCC(CC)OC1C=C(C(=O)[O-])C(C)C([NH3+])C1NC(C)=O,1,0.2
25,ZINC04134499,DUD_na_A_26,CC(=O)NC1C(O)CC(P(=O)(O)O)OC1C(O)C(O)CO,1,0.09195402298850575
26,ZINC04134498,DUD_na_A_27,CCC(CC)OC1C(F)=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.23076923076923078
27,ZINC04134497,DUD_na_A_28,CCC(CC)OC1C(C)=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.23076923076923078
28,ZINC04134493,DUD_na_A_29,CCCOC1C=C(C(=O)[O-])CC(N=[CH+](N)N)C1NC(C)=O,1,0.1686746987951807
29,ZINC04134490,DUD_na_A_30,C=CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.2125
30,ZINC04134489,DUD_na_A_31,C=CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.2125
31,ZINC04134488,DUD_na_A_32,CCCCCCOC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,1,0.20987654320987653
