,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03832240,DUD_pdgfrb_A_1,c1cc(-c2cnc3ccccc3c2)cs1,1,0.6379310344827587
1,ZINC03834023,DUD_pdgfrb_A_2,Fc1cccc2ncc(-c3ccsc3)cc12,1,0.5645161290322581
2,ZINC03834021,DUD_pdgfrb_A_3,Fc1ccc2cc(-c3ccsc3)cnc2c1,1,0.6440677966101694
3,ZINC03832218,DUD_pdgfrb_A_4,Cc1cc(C)c2cc(-c3ccsc3)cnc2c1,1,0.5230769230769231
4,ZINC00008076,DUD_pdgfrb_A_5,COc1ccc2cc(-c3ccsc3)cnc2c1,1,0.8518518518518519
5,ZINC03832230,DUD_pdgfrb_A_6,COc1ccc2ncc(-c3ccsc3)cc2c1,1,1.0
6,ZINC00008079,DUD_pdgfrb_A_7,COc1cc2cc(C3=CCCC3)cnc2cc1OC,1,0.3291139240506329
7,ZINC00008075,DUD_pdgfrb_A_8,COc1cc2cc(-c3ccsc3)cnc2cc1OC,1,0.6153846153846154
8,ZINC03834044,DUD_pdgfrb_A_9,COc1cc2cc(C3CCCC3)cnc2cc1OC,1,0.26506024096385544
9,ZINC03834026,DUD_pdgfrb_A_10,COc1cc2ncc(-c3ccsc3)cc2c(OC)c1,1,0.5909090909090909
10,ZINC03834034,DUD_pdgfrb_A_11,COc1cc2cc(-c3cccs3)cnc2cc1OC,1,0.4189189189189189
11,ZINC03834022,DUD_pdgfrb_A_12,COc1cc2cc(-c3sccc3Cl)cnc2cc1OC,1,0.38961038961038963
12,ZINC03832236,DUD_pdgfrb_A_13,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)s1,1,0.375
13,ZINC03815797,DUD_pdgfrb_A_14,COc1ccc2c(c1)ncn2-c1ccsc1,1,0.49230769230769234
14,ZINC00017525,DUD_pdgfrb_A_15,Oc1ccc2c(c1)ncn2-c1ccccc1,1,0.24358974358974358
15,ZINC03815798,DUD_pdgfrb_A_16,CSc1ccc2c(c1)ncn2-c1ccccc1,1,0.25
16,ZINC00007489,DUD_pdgfrb_A_17,COc1ccc2c(c1)ncn2-c1ccccc1,1,0.3698630136986301
17,ZINC03815792,DUD_pdgfrb_A_18,CCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.2875
18,ZINC03815794,DUD_pdgfrb_A_19,COc1ccc2c(c1)ncn2-c1ccc(N)cc1,1,0.3783783783783784
19,ZINC03815800,DUD_pdgfrb_A_20,CC(=O)c1ccc2c(c1)ncn2-c1ccccc1,1,0.24390243902439024
20,ZINC03815793,DUD_pdgfrb_A_21,CCCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.27710843373493976
21,ZINC03815796,DUD_pdgfrb_A_22,C=CCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.2619047619047619
22,ZINC03815799,DUD_pdgfrb_A_23,COC(=O)c1ccc2c(c1)ncn2-c1ccccc1,1,0.26506024096385544
23,ZINC03832262,DUD_pdgfrb_A_24,[NH3+]CCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.2619047619047619
24,ZINC03832252,DUD_pdgfrb_A_25,COc1cc2ncn(-c3ccccc3)c2cc1CO,1,0.2962962962962963
25,ZINC03832258,DUD_pdgfrb_A_26,OCCCCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.24444444444444444
26,ZINC04628819,DUD_pdgfrb_A_27,OCC(O)COc1ccc2c(c1)ncn2-c1ccccc1,1,0.24719101123595505
27,ZINC03832267,DUD_pdgfrb_A_28,COC(=O)c1cc2c(cc1OC)ncn2-c1ccccc1,1,0.27906976744186046
28,ZINC03832249,DUD_pdgfrb_A_29,OCC(O)COc1ccc2c(c1)ncn2-c1ccccc1,1,0.24719101123595505
29,ZINC03815790,DUD_pdgfrb_A_30,C[NH+](C)CCCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.25274725274725274
30,ZINC03815791,DUD_pdgfrb_A_31,C[NH+](C)CCCCOc1ccc2c(c1)ncn2-c1ccccc1,1,0.24468085106382978
31,ZINC03832246,DUD_pdgfrb_A_32,Clc1ccc2cc(-c3ccncc3)cnc2c1,1,0.4084507042253521
32,ZINC03832253,DUD_pdgfrb_A_33,COc1ccc2ncc(-c3ccncc3)cc2c1,1,0.6612903225806451
33,ZINC03832261,DUD_pdgfrb_A_34,COc1ccc2cc(-c3ccncc3)cnc2c1,1,0.5606060606060606
34,ZINC03832245,DUD_pdgfrb_A_35,COc1cc2cc(-c3ccncc3)cnc2cc1OC,1,0.44
35,ZINC03832247,DUD_pdgfrb_A_36,COc1cc2cc(-c3cccnc3)cnc2cc1OC,1,0.42105263157894735
36,ZINC03832232,DUD_pdgfrb_A_37,COc1cc2ncc(-c3ccncc3)cc2c(OC)c1,1,0.42105263157894735
37,ZINC03834036,DUD_pdgfrb_A_38,COc1cc2cc(-c3ccccc3)cnc2cc1OC,1,0.44
38,ZINC03834024,DUD_pdgfrb_A_39,COc1cc2cc(-c3cccc(F)c3)cnc2cc1OC,1,0.42857142857142855
39,ZINC03834025,DUD_pdgfrb_A_40,COc1cc2cc(-c3ccc(O)cc3)cnc2cc1OC,1,0.4473684210526316
40,ZINC03834028,DUD_pdgfrb_A_41,COc1cc2cc(-c3ccc(F)cc3)cnc2cc1OC,1,0.4473684210526316
41,ZINC03815788,DUD_pdgfrb_A_42,COc1cc2cc(-c3ccc(O)nc3)cnc2cc1OC,1,0.41025641025641024
42,ZINC03815789,DUD_pdgfrb_A_43,COc1ccncc1-c1cnc2cc(OC)c(OC)cc2c1,1,0.34523809523809523
43,ZINC03832254,DUD_pdgfrb_A_44,COc1cc2ncc(-c3ccncc3)cc2c(OC)c1OC,1,0.34523809523809523
44,ZINC03815557,DUD_pdgfrb_A_45,CCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.1935483870967742
45,ZINC00008074,DUD_pdgfrb_A_46,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,1,0.4868421052631579
46,ZINC03834040,DUD_pdgfrb_A_47,COc1cc2cc(-c3ccc(F)c(F)c3)cnc2cc1OC,1,0.4
47,ZINC03834037,DUD_pdgfrb_A_48,COc1cc2cc(-c3ccc([N+](=O)[O-])cc3)cnc2cc1OC,1,0.41975308641975306
48,ZINC00008077,DUD_pdgfrb_A_49,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1F,1,0.3855421686746988
49,ZINC03832248,DUD_pdgfrb_A_50,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1C,1,0.3855421686746988
50,ZINC03834043,DUD_pdgfrb_A_51,COc1cc2cc(-c3cc(F)c(OC)c(F)c3)cnc2cc1OC,1,0.32954545454545453
51,ZINC03832241,DUD_pdgfrb_A_52,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1[N+](=O)[O-],1,0.36363636363636365
52,ZINC03832234,DUD_pdgfrb_A_53,CCOC(=O)c1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,1,0.39080459770114945
53,ZINC03815526,DUD_pdgfrb_A_54,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Br,1,0.16981132075471697
54,ZINC03815368,DUD_pdgfrb_A_55,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,1,0.16981132075471697
55,ZINC03815559,DUD_pdgfrb_A_56,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)[O-])nc21,1,0.1592920353982301
56,ZINC03832255,DUD_pdgfrb_A_57,c1cc(-c2cnc3cc4c(cc3c2)OCO4)cs1,1,0.5294117647058824
57,ZINC03832235,DUD_pdgfrb_A_58,C(=Cc1cnc2ccccc2c1)c1ccccc1,1,0.2839506172839506
58,ZINC03834019,DUD_pdgfrb_A_59,COc1cc2cc(C=Cc3ccccc3)cnc2cc1OC,1,0.32558139534883723
59,ZINC03834031,DUD_pdgfrb_A_60,COc1cc2cc(OCc3ccccc3)cnc2cc1OC,1,0.35714285714285715
60,ZINC03834030,DUD_pdgfrb_A_61,COc1cc2cc(NCc3ccccc3)cnc2cc1OC,1,0.32558139534883723
61,ZINC03834029,DUD_pdgfrb_A_62,COc1cc2cc(C#Cc3ccccc3)cnc2cc1OC,1,0.32558139534883723
62,ZINC03832228,DUD_pdgfrb_A_63,COc1ccc(C=Cc2cnc3cc(OC)c(OC)cc3c2)cc1,1,0.367816091954023
63,ZINC03832256,DUD_pdgfrb_A_64,COc1ccc(CCc2cnc3cc(OC)c(OC)cc3c2)cc1,1,0.367816091954023
64,ZINC03832251,DUD_pdgfrb_A_65,c1nc2cc(OCC3CO3)ccc2n1-c1ccccc1,1,0.25287356321839083
65,ZINC04628820,DUD_pdgfrb_A_66,c1nc2cc(OCC3CO3)ccc2n1-c1ccccc1,1,0.25287356321839083
66,ZINC03834050,DUD_pdgfrb_A_67,O=C1Nc2ccc(Br)cc2C1=Cc1cc2c([nH]1)CCCC2,1,0.1326530612244898
67,ZINC03815538,DUD_pdgfrb_A_68,O=C([O-])CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1CCCC2,1,0.0990990990990991
68,ZINC03815537,DUD_pdgfrb_A_69,O=C([O-])CCc1c(C=C2C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,1,0.09734513274336283
69,ZINC03815532,DUD_pdgfrb_A_70,O=C([O-])CCc1c(C=C2C(=O)Nc3ccc(C(=O)[O-])cc32)[nH]c2c1CCCC2,1,0.09322033898305085
70,ZINC03815527,DUD_pdgfrb_A_71,NS(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)[O-])CCCC3)C(=O)N2,1,0.09166666666666666
71,ZINC03815484,DUD_pdgfrb_A_72,O=C([O-])CCc1cc[nH]c1C=C1C(=O)Nc2ccccc21,1,0.14583333333333334
72,ZINC03834038,DUD_pdgfrb_A_73,Cc1c(C=C2C(=O)Nc3ccccc32)[nH]cc1CCC(=O)[O-],1,0.13131313131313133
73,ZINC03815485,DUD_pdgfrb_A_74,Cc1c[nH]c(C=C2C(=O)Nc3ccccc32)c1CCC(=O)[O-],1,0.13131313131313133
74,ZINC03834032,DUD_pdgfrb_A_75,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)[O-],1,0.11764705882352941
75,ZINC03815504,DUD_pdgfrb_A_76,Cc1c[nH]c(C=C2C(=O)Nc3ccc(Br)cc32)c1CCC(=O)[O-],1,0.12871287128712872
76,ZINC03834033,DUD_pdgfrb_A_77,Cc1[nH]c(C=C2C(=O)Nc3ccc(Br)cc32)c(C)c1CCC(=O)[O-],1,0.11538461538461539
77,ZINC03834039,DUD_pdgfrb_A_78,COc1ccc2c(c1)NC(=O)C2=Cc1[nH]cc(CCC(=O)[O-])c1C,1,0.20618556701030927
78,ZINC03834047,DUD_pdgfrb_A_79,COc1ccc2c(c1)NC(=O)C2=Cc1[nH]c(C)c(CCC(=O)[O-])c1C,1,0.19
79,ZINC03834042,DUD_pdgfrb_A_80,COc1cc2cc(-c3c[nH]c4ccccc43)cnc2cc1OC,1,0.36046511627906974
80,ZINC03832263,DUD_pdgfrb_A_81,c1nc2cc(OCC[NH+]3CCOCC3)ccc2n1-c1ccccc1,1,0.22
81,ZINC03832259,DUD_pdgfrb_A_82,Cn1c(=O)c(-c2ccsc2)cc2cnc(Nc3ccncc3)nc21,1,0.34831460674157305
82,ZINC03832268,DUD_pdgfrb_A_83,Cn1c(=O)c(-c2cccs2)cc2cnc(Nc3ccccc3)nc21,1,0.25
83,ZINC03832266,DUD_pdgfrb_A_84,Cn1c(=O)c(-c2ccsc2)cc2cnc(Nc3ccccc3)nc21,1,0.34831460674157305
84,ZINC03832257,DUD_pdgfrb_A_85,CCn1c(=O)c(-c2ccsc2)cc2cnc(Nc3ccccc3)nc21,1,0.33695652173913043
85,ZINC03832229,DUD_pdgfrb_A_86,CC[NH+](CC)COc1ccc(Nc2ncc3cc(-c4ccsc4)c(=O)n(C)c3n2)cc1,1,0.3238095238095238
86,ZINC03832243,DUD_pdgfrb_A_87,Cn1c2nc(Nc3ccccc3)ncc2cc(-c2ccccc2)c1=O,1,0.23
87,ZINC03832250,DUD_pdgfrb_A_88,Cn1c2nc(Nc3ccncc3)ncc2cc(-c2ccccc2)c1=O,1,0.23
