,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03776439,DUD_sahh_A_1,Nc1ncnc2c1ncn2C1CCC(O)C1O,1,0.6896551724137931
1,ZINC03778256,DUD_sahh_A_2,Nc1ncnc2c1ncn2C1C=CC(O)C1O,1,0.5806451612903226
2,ZINC03778257,DUD_sahh_A_3,NC1NCCC2C1N=CN2C1C=CC(O)C1O,1,0.1951219512195122
3,ZINC03834079,DUD_sahh_A_4,NC1NCCC2C1N=CN2C1CCC(O)C1O,1,0.1951219512195122
4,ZINC03832329,DUD_sahh_A_5,Nc1ncnc2c1ccn2C1CCC(O)C1O,1,0.4411764705882353
5,ZINC01483030,DUD_sahh_A_6,Nc1ncnc2c1ncn2C1CC(O)C(O)C1O,1,1.0
6,ZINC03600042,DUD_sahh_A_7,Nc1ncnc2c1ncn2C1CC(O)C(O)C1O,1,1.0
7,ZINC03788179,DUD_sahh_A_8,Nc1ncnc2c1ncn2C1CC(O)C(O)C1O,1,1.0
8,ZINC03834085,DUD_sahh_A_9,CC1CC(N2C=NC3C2CCNC3N)C(O)C1O,1,0.21951219512195122
9,ZINC03600044,DUD_sahh_A_10,COC1CC(n2cnc3c2ncnc3N)C(O)C1O,1,0.7457627118644068
10,ZINC03782812,DUD_sahh_A_11,Nc1ncnc2c1ncn2C1C=C(CF)C(O)C1O,1,0.5373134328358209
11,ZINC03832327,DUD_sahh_A_12,Nc1ncnc2c1ncn2C1CC(CO)C(O)C1O,1,0.7758620689655172
12,ZINC03832328,DUD_sahh_A_13,Nc1ncnc2c1ncn2C1C=C(CO)C(O)C1O,1,0.5606060606060606
13,ZINC03832334,DUD_sahh_A_14,Nc1ncnc2c1nnn2C1C=C(CO)C(O)C1O,1,0.410958904109589
14,ZINC03834078,DUD_sahh_A_15,NC1NCCC2C1N=CN2C1C=C(CO)C(O)C1O,1,0.21176470588235294
