,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03834105,DUD_src_A_1,Oc1ccc2c3cc(O)c(O)cc3[nH]c2c1O,1,0.00980392156862745
1,ZINC03834098,DUD_src_A_2,Oc1cc2[nH]c3c(c2cc1O)c(Br)cc(O)c3O,1,0.009615384615384616
2,ZINC04617936,DUD_src_A_3,COc1ccc2c(c1)Nc1nc[nH]c(=O)c1C2,1,0.029411764705882353
3,ZINC04617935,DUD_src_A_4,COc1cc2c(cc1OC)Nc1nc[nH]c(=O)c1C2,1,0.028037383177570093
4,ZINC03832355,DUD_src_A_5,Oc1ccc2c(ncn2-c2ccccc2)c1O,1,0.0
5,ZINC03815814,DUD_src_A_6,O=c1[nH]c2cc(O)c(O)cc2c2ccc(O)c(O)c12,1,0.009345794392523364
6,ZINC03834102,DUD_src_A_7,NC1CC2NC(N)C(C3C(Cl)CCCC3Cl)CC2CN1,1,1.0
7,ZINC03815550,DUD_src_A_8,CN1C(=O)C(C2C(Cl)CCCC2Cl)=CC2CNC(N)CC21,1,0.3902439024390244
8,ZINC03834089,DUD_src_A_9,Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.02702702702702703
9,ZINC03834104,DUD_src_A_10,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.017391304347826087
10,ZINC03815531,DUD_src_A_11,CNC1CC2C(C=C(C3C(Cl)CCCC3Cl)C(=O)N2C)CN1,1,0.3
11,ZINC03815557,DUD_src_A_12,CCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.02631578947368421
12,ZINC03815554,DUD_src_A_13,CCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.02564102564102564
13,ZINC03815571,DUD_src_A_14,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.01694915254237288
14,ZINC03834090,DUD_src_A_15,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCO)nc21,1,0.01652892561983471
15,ZINC03815560,DUD_src_A_16,CCCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.025
16,ZINC03815548,DUD_src_A_17,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(CCCO)c2n1,1,0.025
17,ZINC03815553,DUD_src_A_18,CC(C)Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.025210084033613446
18,ZINC03815522,DUD_src_A_19,CCNC(=O)NC1NC2CC(N)NCC2CC1C1C(Cl)CCCC1Cl,1,0.6578947368421053
19,ZINC03834091,DUD_src_A_20,COC(=O)Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.02459016393442623
20,ZINC03815567,DUD_src_A_21,C[NH+](C)CCCn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.024
21,ZINC03834094,DUD_src_A_22,Cc1ccccc1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,1,0.007874015748031496
22,ZINC03815511,DUD_src_A_23,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(F)cccc1F,1,0.007751937984496124
23,ZINC03815515,DUD_src_A_24,CC(C)(C)NC(=O)NC1NC2CC(N)NCC2CC1C1C(Cl)CCCC1Cl,1,0.625
24,ZINC03815526,DUD_src_A_25,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Br,1,0.015625
25,ZINC03815518,DUD_src_A_26,CCNC(=O)Nc1nc2nc(N)ncc2cc1-c1cc(OC)cc(OC)c1,1,0.007633587786259542
26,ZINC03815345,DUD_src_A_27,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,1,0.023622047244094488
27,ZINC03815368,DUD_src_A_28,Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,1,0.007751937984496124
28,ZINC03834096,DUD_src_A_29,CC(C)(C)OC(=O)Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.023255813953488372
29,ZINC03815539,DUD_src_A_30,Cc1cc(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c(C)c1,1,0.007633587786259542
30,ZINC03815521,DUD_src_A_31,CC[NH+](CC)CCCNC1CC2C(C=C(C3C(Cl)CCCC3Cl)C(=O)N2C)CN1,1,0.24545454545454545
31,ZINC02006382,DUD_src_A_32,CC[NH+](CC)CCCCNC1CC2NC(=O)C(C3C(Cl)CCCC3Cl)=CC2CN1,1,0.26605504587155965
32,ZINC03815559,DUD_src_A_33,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)[O-])nc21,1,0.014814814814814815
33,ZINC03834108,DUD_src_A_34,CC[NH+](CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.014814814814814815
34,ZINC03834086,DUD_src_A_35,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(O)c1,1,0.0
35,ZINC03834097,DUD_src_A_36,N=c1oc2cc(O)cc(O)c2cc1C(=O)Nc1ccc(O)cc1,1,0.0
36,ZINC03834101,DUD_src_A_37,N=c1oc2c(ccc(O)c2O)cc1C(=O)Nc1cccc(O)c1,1,0.0
37,ZINC01609260,DUD_src_A_38,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,1,0.008333333333333333
38,ZINC03815377,DUD_src_A_39,Nc1ncnc2c1c(-c1cccc(Cl)c1)cn2-c1ccccc1,1,0.01652892561983471
39,ZINC03815376,DUD_src_A_40,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(CO)cc1,1,0.008
40,ZINC03815366,DUD_src_A_41,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1,1,0.008
41,ZINC03832353,DUD_src_A_42,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1CO,1,0.008
42,ZINC01609268,DUD_src_A_43,COc1ccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)cc1,1,0.008
43,ZINC03815351,DUD_src_A_44,COc1cccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)c1,1,0.008
44,ZINC03815391,DUD_src_A_45,COc1cccc(-c2cn(-c3cccc(CO)c3)c3ncnc(N)c23)c1,1,0.007692307692307693
45,ZINC03832343,DUD_src_A_46,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(C[NH2+]CCO)cc1,1,0.007462686567164179
46,ZINC03832342,DUD_src_A_47,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(C[NH2+]CCO)c1,1,0.007462686567164179
47,ZINC03815323,DUD_src_A_48,COc1cccc(-c2cn(-c3ccc(C[NH2+]CCO)cc3)c3ncnc(N)c23)c1,1,0.007194244604316547
48,ZINC03815324,DUD_src_A_49,COc1cccc(-c2cn(-c3ccc(CC[NH+](C)CCO)cc3)c3ncnc(N)c23)c1,1,0.006944444444444444
49,ZINC03815390,DUD_src_A_50,COc1cccc(-c2cn(-c3ccc(CC(=O)NCCO)cc3)c3ncnc(N)c23)c1,1,0.006944444444444444
50,ZINC00058174,DUD_src_A_51,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c32,1,0.0
51,ZINC03815543,DUD_src_A_52,O=C([O-])c1ccc2c(c1)C(=Cc1cc3c([nH]1)CCCC3)C(=O)N2,1,0.06086956521739131
52,ZINC03815533,DUD_src_A_53,NS(=O)(=O)c1ccc2c(c1)C(=Cc1cc3c([nH]1)CCCC3)C(=O)N2,1,0.06896551724137931
53,ZINC03815532,DUD_src_A_54,O=C([O-])CCc1c(C=C2C(=O)Nc3ccc(C(=O)[O-])cc32)[nH]c2c1CCCC2,1,0.0546875
54,ZINC03815527,DUD_src_A_55,NS(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)[O-])CCCC3)C(=O)N2,1,0.06201550387596899
55,ZINC03815213,DUD_src_A_56,Oc1cccc(-c2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)c1,1,0.016129032258064516
56,ZINC03815082,DUD_src_A_57,Oc1cccc(Nc2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)c1,1,0.015748031496062992
57,ZINC00839396,DUD_src_A_58,Oc1ccc(Nc2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)cc1,1,0.015748031496062992
58,ZINC03832250,DUD_src_A_59,Cn1c2nc(Nc3ccncc3)ncc2cc(-c2ccccc2)c1=O,1,0.0
59,ZINC03832231,DUD_src_A_60,CCn1c(=O)c(-c2ccccc2)cc2cnc(Nc3ccncc3)nc21,1,0.0
60,ZINC00601820,DUD_src_A_61,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,1,0.015267175572519083
61,ZINC03832359,DUD_src_A_62,Cn1c2cc(Nc3ccncc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,1,0.015267175572519083
62,ZINC00838734,DUD_src_A_63,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,1,0.015267175572519083
63,ZINC03815354,DUD_src_A_64,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,1,0.015267175572519083
64,ZINC03815288,DUD_src_A_65,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,1,0.015037593984962405
65,ZINC03815350,DUD_src_A_66,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,1,0.014925373134328358
66,ZINC03815520,DUD_src_A_67,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(O)cc3)nc21,1,0.015037593984962405
67,ZINC03815223,DUD_src_A_68,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1,0.014705882352941176
68,ZINC02047503,DUD_src_A_69,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,1,0.014705882352941176
69,ZINC03815556,DUD_src_A_70,COc1ccncc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1,0.014705882352941176
70,ZINC03815309,DUD_src_A_71,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1,0.014705882352941176
71,ZINC03815299,DUD_src_A_72,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)[O-])c3)nc21,1,0.014492753623188406
72,ZINC03815545,DUD_src_A_73,CC[NH+](CC)COc1ccc(Nc2ncc3cc(-c4ccccc4)c(=O)n(C)c3n2)cc1,1,0.0
73,ZINC03815509,DUD_src_A_74,CCn1c(=O)c(-c2ccccc2)cc2cnc(Nc3ccc(OC[NH+](CC)CC)cc3)nc21,1,0.0
74,ZINC01916185,DUD_src_A_75,N#Cc1ccc(Cn2c3cc(O)c(O)cc3c3ccc(O)c(O)c32)cc1,1,0.0
75,ZINC03832365,DUD_src_A_76,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc32)cc1OC,1,0.0
76,ZINC03832366,DUD_src_A_77,COc1cc(Nc2c(C#N)cnc3cc(OC)c(OC)cc32)cc(OC)c1,1,0.0
77,ZINC03832350,DUD_src_A_78,COc1cc2nccc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.0
78,ZINC03815352,DUD_src_A_79,COc1cc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.0
79,ZINC03832354,DUD_src_A_80,CCOc1c(OC)cc(Nc2ncnc3cc(OC)c(OC)cc32)cc1OC,1,0.0
80,ZINC03832344,DUD_src_A_81,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.0
81,ZINC03832352,DUD_src_A_82,COc1cc2ncc(C#N)c(Oc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.0
82,ZINC03832362,DUD_src_A_83,COc1cc2ncnc(Nc3cc(OC)c(OC(C)C)c(OC)c3)c2cc1OC,1,0.0
83,ZINC03832357,DUD_src_A_84,CCCCOc1c(OC)cc(Nc2ncnc3cc(OC)c(OC)cc32)cc1OC,1,0.0
84,ZINC03832356,DUD_src_A_85,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3C)c2cc1OC,1,0.0
85,ZINC03832345,DUD_src_A_86,CCOc1c(OC)cc(Nc2c(C#N)cnc3cc(OC)c(OC)cc32)cc1OC,1,0.0
86,ZINC03832347,DUD_src_A_87,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC(C)C)c(OC)c3)c2cc1OC,1,0.0
87,ZINC03834088,DUD_src_A_88,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(Cc3ccccc3)c2n1,1,0.023076923076923078
88,ZINC03815564,DUD_src_A_89,Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(Cc3ccncc3)c2n1,1,0.023076923076923078
89,ZINC03832361,DUD_src_A_90,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccn3)nc21,1,0.014925373134328358
90,ZINC03834106,DUD_src_A_91,O=c1c2cc(O)c(O)cc2c2cc(O)c(O)cc2n1Cc1ccc([N+](=O)[O-])cc1,1,0.0
91,ZINC03815530,DUD_src_A_92,CN1C(=O)C(C2C(Cl)CCCC2Cl)=CC2CNC(NCCCn3ccnc3)CC21,1,0.24107142857142858
92,ZINC03834095,DUD_src_A_93,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCC[NH+]3CCOCC3)nc21,1,0.04411764705882353
93,ZINC04632533,DUD_src_A_94,O=C([O-])CCc1c(C=C2C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,1,0.050359712230215826
94,ZINC04632535,DUD_src_A_95,COc1cccc(-c2ccc3c(c2)NC(=O)C3=Cc2[nH]c3c(c2CCC(=O)[O-])CCCC3)c1,1,0.04861111111111111
95,ZINC04617837,DUD_src_A_96,COc1ccc(-c2ccc3c(c2)NC(=O)C3=Cc2[nH]c3c(c2CCC(=O)[O-])CCCC3)cc1,1,0.04861111111111111
96,ZINC04617831,DUD_src_A_97,COc1ccccc1-c1ccc2c(c1)NC(=O)C2=Cc1[nH]c2c(c1CCC(=O)[O-])CCCC2,1,0.04861111111111111
97,ZINC03832229,DUD_src_A_98,CC[NH+](CC)COc1ccc(Nc2ncc3cc(-c4ccsc4)c(=O)n(C)c3n2)cc1,1,0.0
98,ZINC00053161,DUD_src_D_1,CN(C)c1cccc(OCC(=O)NNC(=S)Nc2ccccc2)c1,0,0.0
99,ZINC00122323,DUD_src_D_2,COc1ccc(C(=O)NNC(=S)NCc2ccccc2)cc1OC,0,0.0
100,ZINC00134341,DUD_src_D_3,COC(=O)c1cccc(NC(=S)NN=Cc2ccc(OC)cc2)c1,0,0.0
101,ZINC00134363,DUD_src_D_4,COC(=O)c1ccc(NC(=S)NN=Cc2ccc(OC)cc2)cc1,0,0.0
102,ZINC00138631,DUD_src_D_5,COC(=O)c1cccc(NC(=S)NN=Cc2ccccc2OC)c1,0,0.0
103,ZINC00287787,DUD_src_D_6,CCOc1ccc(NCC(=O)NNC(=S)Nc2ccccc2)cc1,0,0.0
104,ZINC00443663,DUD_src_D_7,CCOC(=O)c1ccc(NC(=S)NCC(O)c2ccccc2)cc1,0,0.0
105,ZINC00443664,DUD_src_D_8,CCOC(=O)c1ccc(NC(=S)NCC(O)c2ccccc2)cc1,0,0.0
106,ZINC00478797,DUD_src_D_9,CCOc1cc(C=NNC(N)=S)ccc1OC(=O)c1ccccc1,0,0.008130081300813009
107,ZINC00540456,DUD_src_D_10,COC(=O)Cc1ccc(NC(=S)NNC(=O)c2ccccc2)cc1,0,0.0
108,ZINC00543398,DUD_src_D_11,COc1ccc(C2=NOC(CNC(=S)NCc3ccco3)C2)cc1,0,0.016129032258064516
109,ZINC00563602,DUD_src_D_12,O=C(CSCC(=O)Nc1ccccc1)Nc1nc2c(s1)CCC2,0,0.03361344537815126
110,ZINC00577062,DUD_src_D_13,COC1CC(O)CC(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)O1,0,0.06153846153846154
111,ZINC00584948,DUD_src_D_14,COc1ccc(OCC2OC(CCn3cnc4ccccc43)C(O)C2O)c(Cl)c1,0,0.03731343283582089
112,ZINC00587696,DUD_src_D_15,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(Cl)nc1,0,0.007352941176470588
113,ZINC00588468,DUD_src_D_16,CCc1nn(-c2c(C)cccc2Cl)c2nc(Cc3ccc(O)cc3)[nH]c(=O)c12,0,0.015037593984962405
114,ZINC00588468,DUD_src_D_17,CCc1nn(-c2c(C)cccc2Cl)c2[nH]c(Cc3ccc(O)cc3)nc(=O)c12,0,0.015037593984962405
115,ZINC00588468,DUD_src_D_18,CCc1nn(-c2c(C)cccc2Cl)c2[nH]c(Cc3ccc(O)cc3)nc(=O)c12,0,0.015037593984962405
116,ZINC00589274,DUD_src_D_19,CC(C)c1cnc(NC(=O)Cc2ccc(NC(=O)c3cccnc3)cc2)s1,0,0.0
117,ZINC00589276,DUD_src_D_20,CC(C)c1cnc(NC(=O)Cc2ccc(NC(=O)Cc3ccsc3)cc2)s1,0,0.0
118,ZINC00590789,DUD_src_D_21,CC(C)(C)c1coc2c(-c3ccc(F)cc3)c(-c3ccc(S(N)(=O)=O)cc3)nn12,0,0.007407407407407408
119,ZINC00590964,DUD_src_D_22,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc32)ccn1,0,0.007194244604316547
120,ZINC00591042,DUD_src_D_23,COC(=O)C=Cc1cc2ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c3c2c(=O)[nH]1,0,0.021897810218978103
121,ZINC00591657,DUD_src_D_24,CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc3nsnc3c2)c(F)c1,0,0.0
122,ZINC00591658,DUD_src_D_25,CC(C)(O)c1ccc(CNC(=O)c2cncnc2Oc2ccc3c(c2)OCO3)c(F)c1,0,0.006993006993006993
123,ZINC00592251,DUD_src_D_26,COc1cc(N)ccc1S(=O)(=O)n1c2ccc(Cl)cc2n(C2CCCCC2)c1=O,0,0.0873015873015873
124,ZINC00593415,DUD_src_D_27,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2cc(F)cc(F)c2)cc1,0,0.0
125,ZINC00594040,DUD_src_D_28,CNS(=O)(=O)c1sc(C(C)C(=O)Nc2ccc(-c3ccccc3)cc2)nc1C,0,0.0
126,ZINC00594215,DUD_src_D_29,CCC(CO)Nc1ncc2cc(-c3ccccc3Cl)c(=O)n(C)c2n1,0,0.008
127,ZINC00594976,DUD_src_D_30,CN(C)C(=S)Oc1cnc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0,0.007142857142857143
128,ZINC00595263,DUD_src_D_31,O=C(c1ccc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc1)N1CCC(O)CC1,0,0.06060606060606061
129,ZINC00595435,DUD_src_D_32,CC(C)(O)c1ccc(CNC(=O)c2scnc2Oc2ccc3c(c2)OCO3)c(F)c1,0,0.007142857142857143
130,ZINC00595637,DUD_src_D_33,COC1CN(C(=O)c2cc(-c3ccccc3)c(=O)n3c2-c2cc(Cl)ccc2CN3)C1,0,0.044444444444444446
131,ZINC00597796,DUD_src_D_34,COc1cc(OC)c(-c2csc(NC(=O)c3cc4ccccc4[nH]3)n2)c(OC)c1,0,0.007246376811594203
132,ZINC00597878,DUD_src_D_35,CNC(=S)C1(c2cccnc2)CCCCC1CCNS(=O)(=O)c1ccccc1,0,0.05426356589147287
133,ZINC00599071,DUD_src_D_36,CC(C)=NN=C1NC(=O)C(Cc2ccc(OCc3ccc(Cl)cc3)cc2)N1,0,0.031007751937984496
134,ZINC00599332,DUD_src_D_37,CNC(=S)C1(c2cccnc2)CCCCC1CCNS(=O)(=O)c1ccc(F)cc1,0,0.05343511450381679
135,ZINC00599334,DUD_src_D_38,CNC(=S)C1(c2cccnc2)CCCCC1CCNS(=O)(=O)c1cccs1,0,0.05555555555555555
136,ZINC00602001,DUD_src_D_39,CC1(C)Oc2ccc(C#N)cc2C(N(Cc2ncc[nH]2)c2ccc(Cl)cc2)C1O,0,0.029850746268656716
137,ZINC00603168,DUD_src_D_40,COc1ccc(-c2ccccc2)c2sc(NC(=O)c3ccc(CO)cc3)nc21,0,0.0
138,ZINC00603301,DUD_src_D_41,CC(C)n1c(=O)c2ccccc2c(-c2ccc(F)cc2)c1C=CC1CC(O)CC(=O)O1,0,0.036231884057971016
139,ZINC00607281,DUD_src_D_42,CC(C)c1nn(-c2c[nH]cn2)c(-c2ccc(F)cc2)c1CCC1CC(O)CC(=O)O1,0,0.044444444444444446
140,ZINC00612151,DUD_src_D_43,O=C(NNC(=S)NCC1CCCO1)c1ccc(-n2cccc2)cc1,0,0.05
141,ZINC00612356,DUD_src_D_44,CCOC(=O)c1ccc(NC(=S)NNC(=O)c2ccccn2)cc1,0,0.0
142,ZINC00622650,DUD_src_D_45,Cc1onc(-c2ccccc2Cl)c1C(=O)NCCc1nc2ccccc2[nH]1,0,0.015151515151515152
143,ZINC00622650,DUD_src_D_46,Cc1onc(-c2ccccc2Cl)c1C(=O)NCCc1[nH]c2ccccc2[nH+]1,0,0.015151515151515152
144,ZINC00622848,DUD_src_D_47,COc1cccc(C2c3c(C)n[nH]c3OC(N)=C2C#N)c1OCc1ccccc1Cl,0,0.029197080291970802
145,ZINC00622848,DUD_src_D_48,COc1cccc(C2c3c(C)[nH]nc3OC(N)=C2C#N)c1OCc1ccccc1Cl,0,0.029197080291970802
