,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC00007582,DUD_vegfr2_A_1,c1csc(-c2n[nH]c3c2Cc2ccccc2-3)c1,1,0.24390243902439024
1,ZINC04617989,DUD_vegfr2_A_2,c1csc(-c2cc(Nc3ccccc3)[nH]n2)c1,1,0.2
2,ZINC03834201,DUD_vegfr2_A_3,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,1,1.0
3,ZINC03834195,DUD_vegfr2_A_4,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)[O-],1,0.5753424657534246
4,ZINC00008576,DUD_vegfr2_A_5,c1ccc2c(c1)SCc1c(-c3ccncc3)n[nH]c1-2,1,0.22727272727272727
5,ZINC00023575,DUD_vegfr2_A_6,c1ccc2c(c1)CCc1c(-c3ccncc3)n[nH]c1-2,1,0.22727272727272727
6,ZINC02549646,DUD_vegfr2_A_7,O=C1c2ccccc2-c2n[nH]c(-c3ccccc3)c21,1,0.27380952380952384
7,ZINC03815833,DUD_vegfr2_A_8,COc1ccc(-c2[nH]nc3c2C(=O)c2ccccc2-3)cc1,1,0.2727272727272727
8,ZINC01907301,DUD_vegfr2_A_9,Cc1cc(C)c(C=C2C(=O)NN=C2c2cnccn2)[nH]1,1,0.4594594594594595
9,ZINC03832396,DUD_vegfr2_A_10,c1nn2cc(-c3ccncc3)cnc2c1-c1ccncc1,1,0.12871287128712872
10,ZINC03832388,DUD_vegfr2_A_11,Cc1ccc(Nc2c(C#N)cnc3cnc(F)cc32)cc1O,1,0.18947368421052632
11,ZINC01895097,DUD_vegfr2_A_12,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,1,0.1574074074074074
12,ZINC03832397,DUD_vegfr2_A_13,CCOc1cc2c(cc1OC)ncc(C#N)c2Nc1ccc(C)c(O)c1,1,0.18095238095238095
13,ZINC03834189,DUD_vegfr2_A_14,COCCOc1cc2nncc(Nc3ccc(Cl)cc3F)c2cc1OC,1,0.1574074074074074
14,ZINC03834190,DUD_vegfr2_A_15,COCCOc1cc2nccc(Nc3ccc(Cl)cc3F)c2cc1OC,1,0.1574074074074074
15,ZINC03834194,DUD_vegfr2_A_16,COCCOc1cc2nccc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,1,0.14414414414414414
16,ZINC01895417,DUD_vegfr2_A_17,COCCOc1cc2nncc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,1,0.13392857142857142
17,ZINC01895146,DUD_vegfr2_A_18,COCCOc1cc2ncnc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,1,0.13392857142857142
18,ZINC03832402,DUD_vegfr2_A_19,CC(C)(C)CNC(=O)c1ccccc1NCc1ccncc1,1,0.17708333333333334
19,ZINC00026943,DUD_vegfr2_A_20,COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,1,0.1485148514851485
20,ZINC03832412,DUD_vegfr2_A_21,Cc1ccc2[nH]c3c(c2c1)c1c(c2cnccc32)C(=O)NC1=O,1,0.25806451612903225
21,ZINC03832387,DUD_vegfr2_A_22,Cc1ccc(Nc2c3oc4ccccc4c3ncc2C#N)cc1O,1,0.22448979591836735
22,ZINC03832404,DUD_vegfr2_A_23,COc1ccc(O)c(-c2nc(-c3cccnc3)c(NC(C)=O)o2)c1,1,0.20202020202020202
23,ZINC00008981,DUD_vegfr2_A_24,O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c32)-c2ccccc2C1,1,0.27835051546391754
