,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03779977,DUD_cox2_A_1,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,1,0.26506024096385544
1,ZINC00006765,DUD_cox2_A_2,CS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2)s1,1,0.15384615384615385
2,ZINC03814786,DUD_cox2_A_3,Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1,1,0.2823529411764706
3,ZINC03814819,DUD_cox2_A_4,CC(C)(C)c1cc(C=C2NC(N)=NC2=O)cc(C(C)(C)C)c1O,1,0.12745098039215685
4,ZINC04631275,DUD_cox2_A_5,CC(=C1NC(N[CH+](=N)N)=NC1=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,0.13636363636363635
5,ZINC03812990,DUD_cox2_A_6,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl,1,0.4657534246575342
6,ZINC03617632,DUD_cox2_A_7,CC(C(=O)[O-])c1ccc(C(=O)c2ccccc2)cc1,1,0.22727272727272727
7,ZINC02383046,DUD_cox2_A_8,O=C([O-])Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,1,1.0
8,ZINC03791739,DUD_cox2_A_9,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,1,0.13
9,ZINC03814788,DUD_cox2_A_10,Cc1ccc(Nc2c(F)c(F)cc(F)c2F)c(CC(=O)[O-])c1,1,0.37349397590361444
10,ZINC00009201,DUD_cox2_A_11,CCc1cc(C=CS(N)(=O)=O)cc(C(=O)c2ccccc2)c1,1,0.23404255319148937
11,ZINC00598515,DUD_cox2_A_12,CS(=O)(=O)Nc1ccc(C(N)=O)cc1Sc1ccc(F)cc1F,1,0.21875
12,ZINC03814532,DUD_cox2_A_13,COC(=O)CNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,1,0.375
13,ZINC00840871,DUD_cox2_A_14,CS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1Sc1ccc(Cl)cc1Cl,1,0.25263157894736843
14,ZINC03814770,DUD_cox2_A_15,CCOC(=O)C(CCO)=C(c1ccc(F)cc1)c1ccc(S(C)(=O)=O)cc1,1,0.15178571428571427
15,ZINC03814807,DUD_cox2_A_16,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,1,0.2
16,ZINC03814801,DUD_cox2_A_17,CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,1,0.1919191919191919
17,ZINC03814800,DUD_cox2_A_18,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,1,0.1919191919191919
