,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03814995,DUD_dhfr_A_1,CSc1cccc2nc(N)nc(N)c21,1,0.24
1,ZINC00006616,DUD_dhfr_A_2,CC(C)Cc1nc2nc(N)nc(N)c2nc1CC(C)C,1,1.0
2,ZINC03814933,DUD_dhfr_A_3,Nc1nc(N)c2nc(Nc3ccccc3)ccc2n1,1,0.25287356321839083
3,ZINC03814891,DUD_dhfr_A_4,Nc1nc(N)c2c(n1)CCC(Cc1ccccc1)C2,1,0.1978021978021978
4,ZINC03814935,DUD_dhfr_A_5,Nc1nc(N)c2nc(Nc3ccc(Cl)cc3)ccc2n1,1,0.24719101123595505
5,ZINC03814936,DUD_dhfr_A_6,CN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,1,0.26136363636363635
6,ZINC03814892,DUD_dhfr_A_7,Cc1ccccc1CC1CCc2nc(N)nc(N)c2C1,1,0.21978021978021978
7,ZINC03814893,DUD_dhfr_A_8,Cc1cccc(CC2CCc3nc(N)nc(N)c3C2)c1,1,0.21978021978021978
8,ZINC03814934,DUD_dhfr_A_9,COc1ccccc1Nc1ccc2nc(N)nc(N)c2n1,1,0.25274725274725274
9,ZINC00023462,DUD_dhfr_A_10,COc1ccccc1CC1CCc2nc(N)nc(N)c2C1,1,0.2127659574468085
10,ZINC03814895,DUD_dhfr_A_11,COc1cccc(CC2CCc3nc(N)nc(N)c3C2)c1,1,0.2127659574468085
11,ZINC03814896,DUD_dhfr_A_12,COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1,1,0.2127659574468085
12,ZINC03814942,DUD_dhfr_A_13,COc1ccc(Sc2ccc3nc(N)nc(N)c3n2)cc1,1,0.25274725274725274
13,ZINC03814941,DUD_dhfr_A_14,COc1ccccc1Sc1ccc2nc(N)nc(N)c2n1,1,0.25274725274725274
14,ZINC03814937,DUD_dhfr_A_15,COc1ccc(N(C)c2ccc3nc(N)nc(N)c3n2)cc1,1,0.2608695652173913
15,ZINC00007330,DUD_dhfr_A_16,COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1,1,0.21428571428571427
16,ZINC00023463,DUD_dhfr_A_17,COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC,1,0.21428571428571427
17,ZINC03814897,DUD_dhfr_A_18,Nc1nc(N)c2c(n1)CCC(Cc1cccc(C(F)(F)F)c1)C2,1,0.1919191919191919
18,ZINC03814943,DUD_dhfr_A_19,COc1ccc(Sc2ccc3nc(N)nc(N)c3n2)cc1OC,1,0.25263157894736843
19,ZINC00000640,DUD_dhfr_A_20,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,1,0.2604166666666667
20,ZINC00007519,DUD_dhfr_A_21,COc1ccc(N(C)c2ccc3nc(N)nc(N)c3n2)cc1OC,1,0.2604166666666667
21,ZINC03814938,DUD_dhfr_A_22,COc1ccc(OC)c(N(C)c2ccc3nc(N)nc(N)c3n2)c1,1,0.2604166666666667
22,ZINC03814837,DUD_dhfr_A_23,COc1cc(Cc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1,1,0.2222222222222222
23,ZINC03814944,DUD_dhfr_A_24,COc1ccc(S(=O)(=O)c2ccc3nc(N)nc(N)c3n2)cc1OC,1,0.24242424242424243
24,ZINC03814940,DUD_dhfr_A_25,COc1cc(N(C)c2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,1,0.26
25,ZINC03814988,DUD_dhfr_A_26,COc1cc(C[NH+]2CCc3nc(N)nc(N)c3C2)c(Br)c(OC)c1OC,1,0.21153846153846154
26,ZINC03814918,DUD_dhfr_A_27,Nc1nc(N)c2nc(CSc3ccccc3)ccc2n1,1,0.25842696629213485
27,ZINC03814922,DUD_dhfr_A_28,Nc1nc(N)c2nc(CNc3ccccc3)ccc2n1,1,0.25842696629213485
28,ZINC03814839,DUD_dhfr_A_29,Nc1nc(N)c2cc(CNc3ccccc3)ccc2n1,1,0.20430107526881722
29,ZINC03814833,DUD_dhfr_A_30,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccccc1,1,0.32558139534883723
30,ZINC03814879,DUD_dhfr_A_31,Nc1nc(N)c2c(n1)CCC(CNc1ccc(Cl)cc1)C2,1,0.2
31,ZINC03814881,DUD_dhfr_A_32,Nc1nc(N)c2c(n1)CCC(CNc1cccc(Br)c1)C2,1,0.2
32,ZINC03814928,DUD_dhfr_A_33,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccccc1,1,0.26666666666666666
33,ZINC03815020,DUD_dhfr_A_34,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)cnc2n1,1,0.2391304347826087
34,ZINC03815022,DUD_dhfr_A_35,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)ccc2n1,1,0.2
35,ZINC03814905,DUD_dhfr_A_36,Nc1nc(N)c2nc(CNc3ccccc3Cl)ccc2n1,1,0.25274725274725274
36,ZINC03814999,DUD_dhfr_A_37,Cc1c(CSc2ccccc2)cnc2nc(N)nc(N)c12,1,0.25274725274725274
37,ZINC03814907,DUD_dhfr_A_38,Nc1nc(N)c2nc(CNc3cccc(Cl)c3)ccc2n1,1,0.25274725274725274
38,ZINC03814996,DUD_dhfr_A_39,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3)cnc2n1,1,0.3103448275862069
39,ZINC03814840,DUD_dhfr_A_40,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccccc1,1,0.2127659574468085
40,ZINC03814959,DUD_dhfr_A_41,CN(Cc1ccccc1)c1cnc2nc(N)nc(N)c2c1,1,0.25274725274725274
41,ZINC03815005,DUD_dhfr_A_42,Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,1,0.24731182795698925
42,ZINC03815001,DUD_dhfr_A_43,Cc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,1,0.2608695652173913
43,ZINC03815000,DUD_dhfr_A_44,Cc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,1,0.2608695652173913
44,ZINC03814859,DUD_dhfr_A_45,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1,1,0.2608695652173913
45,ZINC03814906,DUD_dhfr_A_46,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccccc1Cl,1,0.2608695652173913
46,ZINC03814982,DUD_dhfr_A_47,COc1ccc(CCc2cnc3nc(N)nc(N)c3c2)cc1,1,0.25806451612903225
47,ZINC03814890,DUD_dhfr_A_48,Nc1nc(N)c2c(n1)CCC(CNc1ccc(Cl)c(Cl)c1)C2,1,0.1958762886597938
