,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC02640583,DUD_egfr_A_1,Brc1cccc(Nc2ncnc3sccc32)c1,1,0.5072463768115942
1,ZINC03815185,DUD_egfr_A_2,Brc1cccc(Nc2ncnc3ccsc32)c1,1,0.5072463768115942
2,ZINC00020644,DUD_egfr_A_3,Cc1[nH]c2ncnc(Nc3cccc(Br)c3)c2c1C,1,1.0
3,ZINC03815359,DUD_egfr_A_4,Cc1[nH]c2ncnc(Nc3cccc(F)c3)c2c1C,1,0.8
4,ZINC03815360,DUD_egfr_A_5,Cc1[nH]c2ncnc(Nc3ccc(F)cc3)c2c1C,1,0.6615384615384615
5,ZINC03815361,DUD_egfr_A_6,Cc1[nH]c2ncnc(Nc3cccc(C)c3)c2c1C,1,0.8
6,ZINC00007282,DUD_egfr_A_7,Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1C,1,0.8
7,ZINC03815304,DUD_egfr_A_8,Cc1[nH]c2ncnc(Nc3cccc(C#N)c3)c2c1C,1,0.7619047619047619
8,ZINC03815353,DUD_egfr_A_9,Cc1[nH]c2ncnc(N(C)c3cccc(Cl)c3)c2c1C,1,0.5277777777777778
9,ZINC00118570,DUD_egfr_A_10,c1ccc(Nc2ncnc3ccccc32)cc1,1,0.3125
10,ZINC03815331,DUD_egfr_A_11,c1ccc(Nc2nncc3ccccc32)cc1,1,0.23529411764705882
11,ZINC00151213,DUD_egfr_A_12,Brc1cccc(Nc2ncnc3ccccc32)c1,1,0.4861111111111111
12,ZINC00151212,DUD_egfr_A_13,Fc1cccc(Nc2ncnc3ccccc32)c1,1,0.3717948717948718
13,ZINC03815388,DUD_egfr_A_14,Nc1ccc2ncnc(Nc3ccccc3)c2c1,1,0.3375
14,ZINC00104621,DUD_egfr_A_15,Cc1cccc(Nc2ncnc3ccccc32)c1,1,0.40789473684210525
15,ZINC03815229,DUD_egfr_A_16,Brc1cccc(Nc2ncnc3ccncc32)c1,1,0.4861111111111111
16,ZINC03815317,DUD_egfr_A_17,NC1CC2NCNC(NC3CCCCC3)C2CN1,1,0.01904761904761905
17,ZINC03815247,DUD_egfr_A_18,Brc1cccc(Nc2ncnc3cnccc32)c1,1,0.4861111111111111
18,ZINC03815375,DUD_egfr_A_19,Brc1cccc(Nc2ncnc3ncccc32)c1,1,0.4861111111111111
19,ZINC03815227,DUD_egfr_A_20,Brc1cccc(Nc2ncnc3cccnc32)c1,1,0.4861111111111111
20,ZINC03815274,DUD_egfr_A_21,Nc1ccc2c(c1)ncnc2Nc1ccccc1,1,0.3375
21,ZINC00151214,DUD_egfr_A_22,Ic1cccc(Nc2ncnc3ccccc32)c1,1,0.3717948717948718
22,ZINC03815386,DUD_egfr_A_23,Brc1cccc(Oc2ncnc3ccccc32)c1,1,0.32098765432098764
23,ZINC00118581,DUD_egfr_A_24,Clc1cccc(Nc2ncnc3ccccc32)c1,1,0.3717948717948718
24,ZINC03815055,DUD_egfr_A_25,Nc1ccc2c(c1)ncnc2Nc1cccc(I)c1,1,0.379746835443038
25,ZINC03815319,DUD_egfr_A_26,NC1CC2NCNC(NC3CCCC(I)C3)C2CN1,1,0.018691588785046728
26,ZINC03815146,DUD_egfr_A_27,Oc1ccc2c(c1)ncnc2Nc1cccc(Br)c1,1,0.4931506849315068
27,ZINC03815314,DUD_egfr_A_28,NC1CC2NCNC(NC3CCCCC3Br)C2CN1,1,0.02830188679245283
28,ZINC03815398,DUD_egfr_A_29,NC1CC2NCNC(NC3CCCC(F)C3)C2CN1,1,0.018691588785046728
29,ZINC00104782,DUD_egfr_A_30,COc1cccc(Nc2ncnc3ccccc32)c1,1,0.375
30,ZINC03815197,DUD_egfr_A_31,Fc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1,0.4931506849315068
31,ZINC03815196,DUD_egfr_A_32,CNc1ncc2ncnc(Nc3ccccc3)c2n1,1,0.3253012048192771
32,ZINC03815276,DUD_egfr_A_33,Nc1cccc2ncnc(Nc3cccc(Br)c3)c12,1,0.5352112676056338
33,ZINC03815251,DUD_egfr_A_34,COc1ccc2ncnc(Nc3ccccc3)c2c1,1,0.34146341463414637
34,ZINC03815264,DUD_egfr_A_35,Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.4931506849315068
35,ZINC03815202,DUD_egfr_A_36,Cc1cccc(Nc2ncnc3cnc(N)nc32)c1,1,0.4155844155844156
36,ZINC03815203,DUD_egfr_A_37,Clc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.4931506849315068
37,ZINC03815236,DUD_egfr_A_38,Clc1cc2c(cn1)ncnc2Nc1cccc(Br)c1,1,0.4931506849315068
38,ZINC03815238,DUD_egfr_A_39,CC1CCCC(NC2NCNC3CC(N)NCC32)C1,1,0.02830188679245283
39,ZINC03815259,DUD_egfr_A_40,NC1CC2NCNC(NC3CCCC(O)C3)C2CN1,1,0.018691588785046728
40,ZINC03815280,DUD_egfr_A_41,COc1ccc2c(c1)ncnc2Nc1ccccc1,1,0.34146341463414637
41,ZINC03815242,DUD_egfr_A_42,Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.4931506849315068
42,ZINC03813425,DUD_egfr_A_43,NC1CCC2NCNC(NC3CCCC(Br)C3)C2N1,1,0.02830188679245283
43,ZINC03815036,DUD_egfr_A_44,Nc1cnc2ncnc(Nc3cccc(Br)c3)c2c1,1,0.4931506849315068
44,ZINC03815410,DUD_egfr_A_45,NC1CCC2C(NC3CCCC(Br)C3)NCNC2N1,1,0.02830188679245283
45,ZINC03815046,DUD_egfr_A_46,Nc1ccc2c(c1)ncnc2Nc1cccc(Cl)c1,1,0.379746835443038
46,ZINC03815035,DUD_egfr_A_47,NC1CC2C(CN1)NCNC2NC1CCCC(Br)C1,1,0.02830188679245283
47,ZINC03815034,DUD_egfr_A_48,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,0.4931506849315068
48,ZINC03815282,DUD_egfr_A_49,Fc1cc2c(cn1)ncnc2Nc1cccc(Br)c1,1,0.4931506849315068
49,ZINC03815281,DUD_egfr_A_50,NC1CC2NCNC(NC3CCCC(Cl)C3)C2CN1,1,0.018691588785046728
50,ZINC03813430,DUD_egfr_A_51,NC1CC2NCNC(NC3CCC(Br)CC3)C2CN1,1,0.02830188679245283
51,ZINC03813429,DUD_egfr_A_52,NC1CC2NCNC(NC3CCCC(Br)C3)C2CN1,1,0.02830188679245283
52,ZINC03815072,DUD_egfr_A_53,Nc1ccc2c(c1)ncnc2Nc1cccc(Br)c1,1,0.4931506849315068
53,ZINC03815374,DUD_egfr_A_54,Fc1ccc2c(ncnc2Nc2cccc(Br)c2)n1,1,0.4931506849315068
54,ZINC03815124,DUD_egfr_A_55,CC1CCCC(NC2NCNC3CNC(N)CC32)C1,1,0.02830188679245283
55,ZINC03815338,DUD_egfr_A_56,Cc1cccc(Nc2ncnc3cnc(Cl)nc32)c1,1,0.4155844155844156
56,ZINC03815176,DUD_egfr_A_57,CNC1CC2C(CN1)NCNC2NC1CCCCC1,1,0.028037383177570093
57,ZINC03815111,DUD_egfr_A_58,Nc1ccc2c(c1)ncnc2Nc1cccc(F)c1,1,0.379746835443038
58,ZINC03815343,DUD_egfr_A_59,Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,1,0.4931506849315068
59,ZINC03815100,DUD_egfr_A_60,Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.4931506849315068
60,ZINC03815101,DUD_egfr_A_61,Nc1cnc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.4931506849315068
61,ZINC00020362,DUD_egfr_A_62,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
62,ZINC03815232,DUD_egfr_A_63,COc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1,0.49333333333333335
63,ZINC03815097,DUD_egfr_A_64,CNC1CC2NCNC(NC3CCCC(C)C3)C2CN1,1,0.037037037037037035
64,ZINC03815163,DUD_egfr_A_65,NNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1,0.47368421052631576
65,ZINC03815162,DUD_egfr_A_66,CNc1ccc2c(c1)ncnc2Nc1cccc(Br)c1,1,0.49333333333333335
66,ZINC03815029,DUD_egfr_A_67,CNc1cnc2ncnc(Nc3cccc(Br)c3)c2c1,1,0.49333333333333335
67,ZINC03815037,DUD_egfr_A_68,CNC1CC2NCNC(NC3CCCC(Br)C3)C2CN1,1,0.037037037037037035
68,ZINC03815038,DUD_egfr_A_69,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,1,0.5
69,ZINC03815411,DUD_egfr_A_70,COc1cccc2ncnc(Nc3cccc(Br)c3)c21,1,0.5342465753424658
70,ZINC03815159,DUD_egfr_A_71,Nc1cc2c(cc1Cl)ncnc2Nc1cccc(Br)c1,1,0.5
71,ZINC03815042,DUD_egfr_A_72,CNC1CC2C(CN1)NCNC2NC1CCCC(Cl)C1,1,0.027522935779816515
72,ZINC03815286,DUD_egfr_A_73,COc1cccc2c(Nc3cccc(Br)c3)ncnc12,1,0.49333333333333335
73,ZINC03815284,DUD_egfr_A_74,COC1CCCC(NC2NCNC3CC(N)NCC32)C1,1,0.027522935779816515
74,ZINC03815144,DUD_egfr_A_75,COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
75,ZINC03815183,DUD_egfr_A_76,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,0.49333333333333335
76,ZINC03813424,DUD_egfr_A_77,CNC1CC2C(CN1)NCNC2NC1CCCC(Br)C1,1,0.037037037037037035
77,ZINC03815137,DUD_egfr_A_78,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
78,ZINC02391776,DUD_egfr_A_79,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,1,0.5
79,ZINC03815060,DUD_egfr_A_80,CNC1CC2C(CN1)NCNC2NC1CCCC(C)C1,1,0.037037037037037035
80,ZINC03815140,DUD_egfr_A_81,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,0.49333333333333335
81,ZINC03815138,DUD_egfr_A_82,COc1cnc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
82,ZINC03815143,DUD_egfr_A_83,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,1,0.4177215189873418
83,ZINC03815070,DUD_egfr_A_84,CNc1cnc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
84,ZINC03815320,DUD_egfr_A_85,COc1ccc2c(ncnc2Nc2cccc(Br)c2)n1,1,0.49333333333333335
85,ZINC03815069,DUD_egfr_A_86,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1,0.49333333333333335
86,ZINC03815332,DUD_egfr_A_87,COc1ccc2c(c1)ncnc2Nc1cccc(Br)c1,1,0.49333333333333335
87,ZINC03815248,DUD_egfr_A_88,CNc1ccc2c(ncnc2Nc2cccc(Br)c2)n1,1,0.49333333333333335
88,ZINC03815373,DUD_egfr_A_89,COC1CCC(NC2NCNC3CC(N)NCC32)CC1,1,0.027522935779816515
89,ZINC03815118,DUD_egfr_A_90,COc1cc2c(cn1)ncnc2Nc1cccc(Br)c1,1,0.49333333333333335
