,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC01510316,DUD_er_agonist_A_1,Oc1ccc(C=Cc2ccc(O)cc2)cc1,1,0.45714285714285713
1,ZINC04150452,DUD_er_agonist_A_2,CC(=C(C)c1ccc(O)cc1)c1ccc(O)cc1,1,0.4722222222222222
2,ZINC00056548,DUD_er_agonist_A_3,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,1,1.0
3,ZINC00056546,DUD_er_agonist_A_4,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,1,1.0
4,ZINC01587804,DUD_er_agonist_A_5,O=C(C(=O)c1ccc(O)cc1O)c1ccc(O)cc1O,1,0.25
5,ZINC03872293,DUD_er_agonist_A_6,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,1,0.4358974358974359
6,ZINC03861549,DUD_er_agonist_A_7,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1,0.5135135135135135
7,ZINC01747889,DUD_er_agonist_A_8,CCC(=C(CC)c1ccc(OC)cc1)c1ccc(O)cc1,1,0.3855421686746988
8,ZINC01566834,DUD_er_agonist_A_9,CCC(c1ccc(O)cc1)C(CC)c1ccc(OC)cc1,1,0.7692307692307693
9,ZINC01668370,DUD_er_agonist_A_10,CCC(c1ccc(O)c(O)c1)C(CC)c1ccc(O)c(O)c1,1,0.48717948717948717
10,ZINC00056434,DUD_er_agonist_A_11,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1,0.4927536231884058
11,ZINC00508310,DUD_er_agonist_A_12,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,1,0.43243243243243246
12,ZINC00283101,DUD_er_agonist_A_13,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,1,0.5652173913043478
13,ZINC03815429,DUD_er_agonist_A_14,COc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,1,0.32926829268292684
14,ZINC03815428,DUD_er_agonist_A_15,COc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,1,0.44155844155844154
15,ZINC00155246,DUD_er_agonist_A_16,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1,0.3411764705882353
16,ZINC00388660,DUD_er_agonist_A_17,Oc1ccc(C2COc3cc(O)ccc3C2)cc1,1,0.3333333333333333
17,ZINC00057656,DUD_er_agonist_A_18,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12,1,0.34146341463414637
18,ZINC00047551,DUD_er_agonist_A_19,O=c1c2ccc(O)cc2occ1-c1ccc(O)cc1,1,0.34146341463414637
19,ZINC00039316,DUD_er_agonist_A_20,O=c1c(O)c(-c2ccc(O)cc2)oc2ccc(O)cc21,1,0.3176470588235294
20,ZINC00041692,DUD_er_agonist_A_21,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c21,1,0.2727272727272727
21,ZINC00113304,DUD_er_agonist_A_22,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,1,0.25555555555555554
22,ZINC01631270,DUD_er_agonist_A_23,CCc1c2ccc(O)cc2oc(=O)c1-c1ccc(OC)cc1,1,0.26881720430107525
23,ZINC03815427,DUD_er_agonist_A_24,CC12CCCC1C1CCc3cc(O)ccc3C1CC2,1,0.1326530612244898
24,ZINC03814416,DUD_er_agonist_A_25,CC12CCC3c4ccccc4CCC3C1CCC2O,1,0.09900990099009901
25,ZINC03814364,DUD_er_agonist_A_26,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,0.1414141414141414
26,ZINC03814379,DUD_er_agonist_A_27,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,1,0.046296296296296294
27,ZINC01070102,DUD_er_agonist_A_28,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,0.1414141414141414
28,ZINC03815415,DUD_er_agonist_A_29,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,0.1414141414141414
29,ZINC03815416,DUD_er_agonist_A_30,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1,0.1414141414141414
30,ZINC03815431,DUD_er_agonist_A_31,CC12CC(=O)CC1C1CCc3cc(O)ccc3C1CC2,1,0.1414141414141414
31,ZINC03814361,DUD_er_agonist_A_32,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,1,0.036036036036036036
32,ZINC03814410,DUD_er_agonist_A_33,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,1,0.12745098039215685
33,ZINC03814412,DUD_er_agonist_A_34,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,1,0.036036036036036036
34,ZINC03815439,DUD_er_agonist_A_35,CC12CCC3(C)c4ccc(O)cc4CCC3C1CCC2O,1,0.15
35,ZINC03807917,DUD_er_agonist_A_36,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1,0.05504587155963303
36,ZINC03815418,DUD_er_agonist_A_37,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1,0.13861386138613863
37,ZINC03815419,DUD_er_agonist_A_38,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,1,0.10576923076923077
38,ZINC03815421,DUD_er_agonist_A_39,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2O,1,0.05504587155963303
39,ZINC03815438,DUD_er_agonist_A_40,CC1Cc2cc(O)ccc2C2CCC3(C)C(O)CCC3C12,1,0.15
40,ZINC03815437,DUD_er_agonist_A_41,Cc1cc2c(cc1O)CCC1C3CCC(O)C3(C)CCC21,1,0.10576923076923077
41,ZINC00585979,DUD_er_agonist_A_42,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1,0.13861386138613863
42,ZINC03815435,DUD_er_agonist_A_43,CC12CCC3c4ccc(O)cc4CCC3C1CCC2CO,1,0.1485148514851485
43,ZINC03815432,DUD_er_agonist_A_44,CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O,1,0.13861386138613863
44,ZINC03814415,DUD_er_agonist_A_45,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1,0.04424778761061947
45,ZINC03814419,DUD_er_agonist_A_46,C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,1,0.04424778761061947
46,ZINC03812897,DUD_er_agonist_A_47,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1,0.1346153846153846
47,ZINC03815449,DUD_er_agonist_A_48,CC12CC(CCl)C3c4ccc(O)cc4CCC3C1CCC2O,1,0.14563106796116504
48,ZINC01686128,DUD_er_agonist_A_49,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1,0.1346153846153846
49,ZINC02106113,DUD_er_agonist_A_50,C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,1,0.04424778761061947
50,ZINC03815440,DUD_er_agonist_A_51,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CC(C)C21C,1,0.14285714285714285
51,ZINC03815424,DUD_er_agonist_A_52,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1,0.1
52,ZINC03814383,DUD_er_agonist_A_53,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,0.043478260869565216
53,ZINC03815417,DUD_er_agonist_A_54,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,1,0.1388888888888889
54,ZINC01999257,DUD_er_agonist_A_55,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,1,0.1388888888888889
55,ZINC03815446,DUD_er_agonist_A_56,CCc1c2ccc(O)cc2sc1-c1ccc(O)cc1,1,0.375
56,ZINC03815444,DUD_er_agonist_A_57,CCn1c2cc(O)ccc2c(C)c1-c1ccc(O)cc1,1,0.38271604938271603
57,ZINC03815448,DUD_er_agonist_A_58,Oc1ccc(-c2cc3cc(Cl)c(O)cc3n2CCl)c(Cl)c1,1,0.2
58,ZINC02035359,DUD_er_agonist_A_59,CCC(c1ccc2cc(O)ccc2c1)C(C)(C)C(=O)[O-],1,0.30952380952380953
59,ZINC00001219,DUD_er_agonist_A_60,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c21,1,0.24175824175824176
60,ZINC03815442,DUD_er_agonist_A_61,CC12CCC3c4ccc(O)cc4CCC3C1CCCC2O,1,0.13725490196078433
61,ZINC03815441,DUD_er_agonist_A_62,CC12CCC3c4ccc(O)cc4CCC3C13CCC(C3)C2O,1,0.13333333333333333
62,ZINC03815445,DUD_er_agonist_A_63,Oc1ccc(-c2oc3cc(O)ccc3c2-c2ccc(O)cc2)cc1,1,0.34408602150537637
63,ZINC00000189,DUD_er_agonist_D_1,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,0,0.1326530612244898
64,ZINC00000934,DUD_er_agonist_D_2,CCCc1ncc(C[n+]2ccccc2C)c(N)n1,0,0.16304347826086957
65,ZINC00001503,DUD_er_agonist_D_3,Cc1nc[nH]c1CC1CCc2c(c3ccccc3n2C)C1=O,0,0.13333333333333333
