,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC04631167,DUD_fxa_A_1,N=[CH+](N)c1cccc(Cn2c(C(N)=O)cc3ccccc32)c1,1,0.6049382716049383
1,ZINC04631097,DUD_fxa_A_2,N=[CH+](N)c1cccc(Cn2c(C(N)=O)cc3c2cccc3O)c1,1,0.45054945054945056
2,ZINC04631071,DUD_fxa_A_3,Cc1cccc2c1cc(C(N)=O)n2Cc1cccc([CH+](=N)N)c1,1,0.4666666666666667
3,ZINC04631020,DUD_fxa_A_4,CCOC(=O)c1cc2ccccc2n1Cc1ccc([CH+](=N)N)cc1,1,1.0
4,ZINC04631021,DUD_fxa_A_5,CCOC(=O)c1cc2ccccc2n1Cc1cccc([CH+](=N)N)c1,1,0.7894736842105263
5,ZINC04631063,DUD_fxa_A_6,COC(=O)c1c(C)c2ccccc2n1Cc1cccc([CH+](=N)N)c1,1,0.4835164835164835
6,ZINC04631056,DUD_fxa_A_7,CSC(=O)c1cc2c(cccc2O)n1Cc1cccc([CH+](=N)N)c1,1,0.45161290322580644
7,ZINC04631039,DUD_fxa_A_8,COC(=O)c1cc2cc(F)ccc2n1Cc1cccc([CH+](=N)N)c1,1,0.5168539325842697
8,ZINC04631019,DUD_fxa_A_9,CCOC(=O)c1cc2c(cccc2C)n1Cc1cccc([CH+](=N)N)c1,1,0.6046511627906976
9,ZINC04631035,DUD_fxa_A_10,COC(=O)c1c2ccccc2n(Cc2cccc([CH+](=N)N)c2)c1C(=O)OC,1,0.4444444444444444
10,ZINC03815607,DUD_fxa_A_11,N=[CH+](N)c1cccc(OCC(=O)Nc2ccc(C(=O)N3CC=CC3)cc2)c1,1,0.3181818181818182
11,ZINC03815591,DUD_fxa_A_12,N=[CH+](N)c1ccc(C(=O)NC(COc2cccc([CH+](=N)N)c2)C(=O)[O-])cc1,1,0.33962264150943394
12,ZINC01490749,DUD_fxa_A_13,O=C1CN(S(=O)(=O)C=Cc2ccc(Cl)s2)CCN1Cc1cc2cnccc2[nH]1,1,0.15625
13,ZINC03815610,DUD_fxa_A_14,CC(NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,1,0.19047619047619047
14,ZINC03815611,DUD_fxa_A_15,CCCN(NC(=O)Nc1ccc(Cl)cc1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,1,0.20930232558139536
15,ZINC03815598,DUD_fxa_A_16,Cc1c(F)c(Oc2cccc([CH+](=N)N)c2)nc(Oc2cccc([CH+](=N)N)c2)c1F,1,0.2542372881355932
16,ZINC03815599,DUD_fxa_A_17,Cc1c(F)c(Oc2cccc(C(=O)N(C)C)c2)nc(Oc2cc([CH+](=N)N)ccc2N)c1F,1,0.2601626016260163
17,ZINC04631143,DUD_fxa_A_18,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3ccccc3)cc3ccccc32)c1,1,0.52
18,ZINC04631140,DUD_fxa_A_19,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3ccccc3)cc3c2cccc3O)c1,1,0.4392523364485981
19,ZINC04631205,DUD_fxa_A_20,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3ccccn3)cc3c2cccc3O)c1,1,0.41284403669724773
20,ZINC04631098,DUD_fxa_A_21,N=[CH+](N)c1cccc(Cn2c(C(=O)NCC3CCCCC3)cc3c2cccc3O)c1,1,0.375
21,ZINC03831899,DUD_fxa_A_22,C[NH+]1C=CC(CNC(=O)c2cc3ccccc3n2Cc2cccc([CH+](=N)N)c2)=CC1,1,0.49514563106796117
22,ZINC03815848,DUD_fxa_A_23,CC(NC(=O)c1cc2ccccc2n1Cc1cccc([CH+](=N)N)c1)C1=CC[NH+](C)C=C1,1,0.4716981132075472
23,ZINC03815850,DUD_fxa_A_24,C[NH+]1C=CC(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc([CH+](=N)N)c2)=CC1,1,0.40540540540540543
24,ZINC04631069,DUD_fxa_A_25,Cc1cccc(CNC(=O)c2cc3c(cccc3O)n2Cc2cccc([CH+](=N)N)c2)c1,1,0.41818181818181815
25,ZINC04631077,DUD_fxa_A_26,Cc1cccc2c1cc(C(=O)NCc1ccc(O)cc1)n2Cc1cccc([CH+](=N)N)c1,1,0.4444444444444444
26,ZINC04631137,DUD_fxa_A_27,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3ccccc3Cl)cc3c2cccc3O)c1,1,0.43119266055045874
27,ZINC04631128,DUD_fxa_A_28,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3cccc(Cl)c3)cc3c2cccc3O)c1,1,0.40540540540540543
28,ZINC04631129,DUD_fxa_A_29,N=[CH+](N)c1cccc(Cn2c(C(=O)NCc3cccc(F)c3)cc3c2cccc3O)c1,1,0.40540540540540543
